"26","8","1","Ullathorne Road","Aldsington Road","","","RG 12/456","86
"
"26","8","140","Vicarage Road","Battersea High Street","","The Lawn, Vicarage Road","RG 12/430","33-34
"
"26","8","141","Victoria Cottages","Aldis Street","","","RG 12/459","91
"
"26","8","142","Victoria Cottages","Garratt Lane","","1-8","RG 12/449","32
"
"26","8","143","Victoria Cottages","Hart Street","","1-2","RG 12/429","66-67
"
"26","8","144","Victoria Crescent","Victoria Road, Battersea","(Circus)","1-4","RG 12/423","86-87
"
"26","8","145","Victoria Dwellings","Battersea Park Road","","","RG 12/423","69-81
"
"26","8","146","Victoria Dwellings","Battersea Park Road","","Superintendent, Victoria Dwellings","RG 12/423","73
"
"26","8","147","Victoria Place","Havelock Terrace Battersea","","1-18","RG 12/426","108-111
"
"26","8","148","Victoria Place","Queens Road, Battersea","","1-21","RG 12/424","90-94
"
"26","8","149","Victoria Road","Battersea Park Road","","1-30","RG 12/423","87-92
"
"26","8","150","Victoria Road","Battersea Park Road","","32-35","RG 12/423","85-86
"
"26","8","151","Victoria Road","Battersea Park Road","","Brighton Goods Wharf, Victoria Road","RG 12/423","85
"
"26","8","152","Victoria Road","Battersea Park Road","","Lurline Gardens 1-17 odd","RG 12/423","103-105
"
"26","8","153","Victoria Road","Battersea Park Road","","Lurline Gardens 2-6 even","RG 12/423","105
"
"26","8","154","Victoria Road","Clapham Common North","","1-16","RG 12/440","10-12
"
"26","8","155","Victoria Road","Clapham Common North","","17-68","RG 12/440","81-86
"
"26","8","156","Victoria Road","Clapham Common North","","69-81","RG 12/440","9-10
"
"26","8","157","Victoria Road","Clapham Common North","","Cope House, Victoria Road, 48","RG 12/440","85
"
"26","8","158","Victoria Road","Clapham Common North","","Friend House 4 6","RG 12/440","85
"
"26","8","159","Victoria Road","Clapham Common North","","Law House, Victoria Road, 47","RG 12/440","85
"
"26","8","160","Victoria Road","Clapham Common North","","Mews, Victoria Road, 9","RG 12/440","81
"
"26","8","161","Victoria Road","Clapham Common North","","Miles House, Victoria Road, 50","RG 12/440","84
"
"26","8","162","Victoria Road","Clapham Common North","","Stroud House, Victoria Road, 52","RG 12/440","84
"
"26","8","163","Victoria Road","Clapham Common North","","Victoria Mews, Victoria Road","RG 12/440","9
"
"26","8","164","Victoria Road","Clapham Common North","","Wiltshire House, Victoria Road, 51","RG 12/440","84
"
"26","8","165","Victoria Road","Clapham Common North","","Young House, Victoria Road, 49","RG 12/440","85
"
"26","8","166","Victoria Road","Gardeners Lane","","Defiance Villas, Victoria Road, 1-2","RG 12/453","48
"
"26","8","167","Victoria Road","Gardeners Lane","","Redgrave Villas, Victoria Road, 1-18","RG 12/453","49-51
"
"26","8","168","Victoria Road","Gardeners Lane","","Stradbroke House & Lodge, Victoria Road","RG 12/453","49
"
"26","8","169","Victoria Road","Gardeners Lane","later called Redgrave Road","1-16","RG 12/453","48-49
"
"26","8","170","Victoria Road","Putney Hill","","Devon Lawn, Victoria Road","RG 12/446","116
"
"26","8","171","Victoria Road","Putney Hill","","Ingleside, Victoria Road","RG 12/446","116
"
"26","8","172","Victoria Road","Putney Hill","","Oaklea, Victoria Road","RG 12/446","123
"
"26","8","173","Victoria Road","Putney Hill","","Park Lodge, Victoria Road","RG 12/446","115
"
"26","8","174","Victoria Road","Putney Hill","","Urmston Lodge, Victoria Road","RG 12/446","116
"
"26","8","175","Victoria Terrace","Bedford Hill Road","","2-11","RG 12/455","30-31
"
"26","8","176","Victoria Terrace","Queens Road Battersea","","2","RG 12/424","98-99
"
"26","8","177","Viewfield Road","Melrose Road","","Durham House, Viewfield Road","RG 12/446","48
"
"26","8","178","Viewfield Road","Melrose Road","","Harefield, Viewfield Road","RG 12/446","48
"
"26","8","179","Viewfield Road","Melrose Road","","Viewfield and Cottage, Viewfield Road","RG 12/446","48
"
"26","8","180","Viewfield Road","Melrose Road","Formerly Spenser Road","Avonmore House, Viewfield Road","RG 12/446","48
"
"26","8","181","Vine Cottages","Allfarthing Lane","","","RG 12/450","57
"
"26","8","182","Vine Cottages","Barrow Road","","1-3","RG 12/457","115
"
"26","8","183","Vine Cottages","Bromells Road","","1-5","RG 12/442","134
"
"26","8","184","Vine Cottages","Coopers Arms Lane","","","RG 12/453","20
"
"26","8","185","Vine Cottages","Edmund Street","","1-4","RG 12/450","62
"
"26","8","186","Vine Cottages","Factory Lane","","1-3","RG 12/449","73
"
"26","8","187","Vine Cottages","Kingston Road","","","RG 12/453","163
"
"26","8","188","Vine Cottages","Mitcham Road","","","RG 12/460","41
"
"26","8","189","Vine Cottages","Putney Lower Common","","","RG 12/452","177
"
"26","8","190","Vine Cottages","Windsor Street","","","RG 12/452","145
"
"26","8","191","Wakehurst Road","Clapham Common West, Battersea","","1-95 odd","RG 12/437","33-36
"
"26","8","192","Wakehurst Road","Clapham Common West, Battersea","","2-62 even","RG 12/437","36-39
"
"26","8","193","Wakehurst Road","Clapham Common West, Battersea","","64-86 even","RG 12/438","59-60
"
"26","8","194","Wakehurst Road","Clapham Common West, Battersea","","99-133 odd","RG 12/438","57-59
"
"26","8","195","Waldron Road","Garratt Lane","","Schoolhouse, Waldron Road","RG 12/449","73
"
"26","8","196","Walkers Place","Coopers Arms Lane","","1-6","RG 12/453","21-22
"
"26","8","197","Wallers Cottages","Putney Lower Common","","1-4","RG 12/452","181
"
