"6","4","123","Lea Bridge Road","","","Willow Cottages River House & Lea View, Lea Bridge Road","RG 12/197","49
"
"6","4","124","Lea Dock","Lea Bridge Road","","","RG 12/197","5-6
"
"6","4","125","Lea Place","Lea Side","","","RG 12/183","156-157
"
"6","4","126","Lea Terrace","pt Glyn Road","","","RG 12/199","42-44
"
"6","4","127","Leabourne Road","Castlewood Road","","","RG 12/182","20
"
"6","4","128","Lee Place","pt Upper Clapton Road","","","RG 12/197","59
"
"6","4","129","Lees Brickfield","Upper Clapton Road","","","RG 12/197","40
"
"6","4","130","Lenthall Road","Queens Road","","1-21 Odd","RG 12/188","48-49
"
"6","4","131","Lenthall Road","Queens Road","","2-26 Even","RG 12/189","74-76
"
"6","4","132","Lenthall Road","Queens Road","","23-57 Odd","RG 12/193","92-94
"
"6","4","133","Lenthall Road","Queens Road","","28-46 Even","RG 12/193","91-92
"
"6","4","134","Lenthall Road","Queens Road","","48-68 Even","RG 12/193","137-138
"
"6","4","135","Lenthall Road","Queens Road","","59-75 Odd","RG 12/193","138-139
"
"6","4","136","Lenthall Road","Queens Road","","70-100 Even","RG 12/194","16-18
"
"6","4","137","Lenthall Road","Queens Road","","77-87 Odd","RG 12/194","18-19
"
"6","4","138","Leonards Place","Allen Road","","","RG 12/1066","68-69
"
"6","4","139","Lesbia Road","Lower Clapton Road","","","RG 12/200","79-82
"
"6","4","140","Leswin Road","Evering Road","","","RG 12/184","45-52
"
"6","4","141","Li stria Park","Manor Road","","","RG 12/179","16-24
"
"6","4","142","Lidfield Road","Green Lanes","","1-23","RG 12/181","165-167
"
"6","4","143","Lidfield Road","Green Lanes","","23-37","RG 12/181","163-165
"
"6","4","144","Lilian Street","was pt Hawkesley Road","","","RG 12/181","27-29
"
"6","4","145","Limes, The","pt Upper Clapton Road","","","RG 12/197","40
"
"6","4","146","Linscott Road","Lower Clapton Road","","1-11 Odd","RG 12/198","28-29
"
"6","4","147","Linscott Road","Lower Clapton Road","","13-19 Odd","RG 12/198","33
"
"6","4","148","Linscott Road","Lower Clapton Road","","Even Nos","RG 12/198","33-35
"
"6","4","149","Linthorpe Road","Stamford Hill","","","RG 12/183","51-54
"
"6","4","150","Little Hill","Mount Pleasant Lane","","Club Place, Orchard, Peartree & Mission Hall Cottages, Little Hill","RG 12/183","151
"
"6","4","151","Little Hill","Mount Pleasant Lane","","Orchard Terrace, Little Hill, 1","RG 12/183","157
"
