"3","2","143","Ellis Street","Sloane Street","","3-11","RG 12/62","80-81
"
"3","2","144","Ellis Street","Sloane Street","","84-85","RG 12/62","46
"
"3","2","145","Ellis Street","Sloane Street","No others","","",""
"3","2","146","Elm Park Gardens and Mews","Fulham Road","","Mews, Elm Park Gardens and Mews, Elm Park Gardens and Mews","RG 12/58","157-158
"
"3","2","147","Elm Park Gardens and Mews","Fulham Road","","Parkholme, Elm Park Gardens and Mews, Elm Park Gardens and Mews","RG 12/58","137
"
"3","2","148","Elm Park Gardens and Mews","Fulham Road","","Remainder, Elm Park Gardens and Mews, Elm Park Gardens and Mews","RG 12/58","146-157
"
"3","2","149","Elm Park Mews","","Elm Park Mews are now Henniker Mews","","",""
"3","2","150","Elm Park Road","Beaufort Street","","21-23 Odd","RG 12/58","146
"
"3","2","151","Elm Park Road","Beaufort Street","","26-78 Even","RG 12/58","143-145
"
"3","2","152","Elm Park Road","Beaufort Street","","5-19 Odd","RG 12/58","115-116
"
"3","2","153","Elm Park Road","Beaufort Street","","6-24 Even","RG 12/58","115
"
"3","2","154","Elm Park Terrace","Fulham Road","pt Fulham Road","","RG 12/58","136-137
"
"3","2","155","Embankment Residences","Cremorne Road","","","RG 12/65","72
"
"3","2","156","Enbrook Street","Third Avenue","","","RG 12/56","94-99
"
"3","2","157","Exeter Buildings","Exeter Street","","1-5","RG 12/61","120-121
"
"3","2","158","Exeter Place","Exeter Street","","pt of 5","RG 12/61","134
"
"3","2","159","Exeter Place","Exeter Street","Remainder","","RG 12/61","124-128
"
"3","2","160","Exeter Street","Sloane Street","","21-36","RG 12/61","149-152
"
"3","2","161","Exeter Street","Sloane Street","","6-20","RG 12/61","121-123
"
"3","2","162","Farrant Street","Third Avenue","","","RG 12/56","87-94
"
"3","2","163","Feltham Mews","Green Street","","","RG 12/61","27
"
"3","2","164","Fifth Avenue","Harrow Road","","1-65 Odd","RG 12/56","54-59
"
"3","2","165","Fifth Avenue","Harrow Road","","2-66 Even","RG 12/56","8-12
"
"3","2","166","Fifth Avenue","Harrow Road","","61-167 Odd","RG 12/55","7-12
"
"3","2","167","Fifth Avenue","Harrow Road","","68-170 Even","RG 12/55","78-84
"
"3","2","168","Fire Stations","Pavilion Road","","Pavilion Road","RG 12/62","91
"
"3","2","169","First Avenue","Harrow Road","","","RG 12/56","122-127
"
"3","2","170","First Street","Walton Street","","","RG 12/61","61-69
"
"3","2","171","Flood Street","Kings Road","","22 and 91","RG 12/63","143
"
"3","2","172","Flood Street","Kings Road","Remainder","","RG 12/63","127-143
"
"3","2","173","Foundry Place","Worlds End Passage","","","RG 12/65","38-39
"
"3","2","174","Fourth Avenue","Harrow Road","","Even Numbers","RG 12/56","85-87
"
"3","2","175","Fourth Avenue","Harrow Road","","Odd Numbers","RG 12/56","4-8
"
"3","2","176","Francis Streets","Keppel Street","","","RG 12/60","69-73
"
"3","2","177","Franklins Row","Pimlico Road","","1","RG 12/63","30
"
"3","2","178","Franklins Row","Pimlico Road","","2-18","RG 12/63","38-41
"
"3","2","179","Franklins Row","Pimlico Road","","3 and a half","RG 12/63","39
"
"3","2","180","Fulham Road","","North Side in KENSINGTON District","","",""
"3","2","181","Fulham Road","","South Side. Do not exist","1-33 Odd","","
"
