"11","3","113","Hackford Road","Holland Street","","37-93 odd","RG 12/404","124-127
"
"11","3","114","Hackford Road","Holland Street","","95-117 odd","RG 12/404","94-95
"
"11","3","115","Hainthorpe Road","Wolfington Road","","","RG 12/419","6-7
"
"11","3","116","Half Moon Lane","Herne Hill","","","RG 12/415","69
"
"11","3","117","Half Moon Lane","Herne Hill","see also CAMBERWELL District","","",""
"11","3","118","Halstead Street","Ingleton Street","","1-7 odd","RG 12/405","79
"
"11","3","119","Halstead Street","Ingleton Street","","2-32 even","RG 12/405","77-79
"
"11","3","120","Halstead Street","Ingleton Street","","34-50 even","RG 12/407","23-24
"
"11","3","121","Halstead Street","Ingleton Street","","9 odd","RG 12/407","23
"
"11","3","122","Halstead Street","Ingleton Street","","part 10 even","RG 12/407","23
"
"11","3","123","Hamilton Grove","Hamilton Road","(Terrace)","1-9","RG 12/418","9-10
"
"11","3","124","Hamilton Grove","Hamilton Road","(Terrace)","10","RG 12/418","11
"
"11","3","125","Hamilton Grove","Hamilton Road","(Terrace)","11-17","RG 12/418","10-11
"
"11","3","126","Hamilton Road","Gipsy Road","","1-109 odd","RG 12/418","4-9
"
"11","3","127","Hamilton Road","Gipsy Road","","111-179 odd","RG 12/418","32-35
"
"11","3","128","Hamilton Road","Gipsy Road","","Bartwell Buildings, Hamilton Road","RG 12/418","18-19
"
"11","3","129","Hamilton Road","Gipsy Road","","Even numbers","RG 12/418","23-32
"
"11","3","130","Hamilton Road","Gipsy Road","","St Saviours Almshouses, Hamilton Road","RG 12/418","27-28
"
"11","3","131","Hamilton Road","Railton Road","","","RG 12/412","123-126
"
"11","3","132","Hamilton Yard","Lower Marsh","","","RG 12/390","4
"
"11","3","133","Hammond Place","Cornwall Road","","","RG 12/388","112-113
"
"11","3","134","Hampshire Street","Newburn Street","","","RG 12/396","31
"
"11","3","135","Hanbury Terrace","part Meadow Road","","","RG 12/399","148-149
"
"11","3","136","Handforth Road","Clapham Road","","","RG 12/403","136-141
"
"11","3","137","Hannah Place","Dorset Road","","","RG 12/400","108
"
"11","3","138","Hanover Gardens","Kennington Park Road","","","RG 12/399","3-10
"
"11","3","139","Harbour Road","Coldharbour Lane","","","RG 12/415","11-12
"
"11","3","140","Hardess Street","Hinton Road","","","RG 12/415","149-152
"
"11","3","141","Hargwyne Street","Pulross Road","","","RG 12/409","72-87
"
"11","3","142","Harleyford Road and Mews","Kennington Oval","","1 odd","RG 12/399","84
"
"11","3","143","Harleyford Road and Mews","Kennington Oval","","2-46 even","RG 12/399","99-102
"
"11","3","144","Harleyford Road and Mews","Kennington Oval","","3-41 odd","RG 12/399","102-103
"
"11","3","145","Harleyford Road and Mews","Kennington Oval","","43-67 odd","RG 12/398","187-188
"
"11","3","146","Harleyford Road and Mews","Kennington Oval","","48-94 even","RG 12/399","109-112
"
"11","3","147","Harleyford Road and Mews","Kennington Oval","","Mews (Empty)","RG 12/398","183
"
"11","3","148","Harleyford Street","Kennington Oval","","","RG 12/398","174-176
"
"11","3","149","Harriet Street","Johanna Street","","18-24","RG 12/390","47-48
"
"11","3","150","Harriet Street","Johanna Street","later part Grindal Street (1-8 schools)","10-17","RG 12/390","16-18
"
"11","3","151","Hartington Road","Wilcox Road","","1-71 odd","RG 12/400","171-175
"
"11","3","152","Hartington Road","Wilcox Road","","2-52 even","RG 12/401","70-72
"
"11","3","153","Hartington Road","Wilcox Road","","58-68 even","RG 12/401","89
"
"11","3","154","Hartington Road","Wilcox Road","","70-82 even","RG 12/401","123-124
"
"11","3","155","Hartington Road","Wilcox Road","","73-161 odd","RG 12/400","186-191
"
"11","3","156","Hartington Road","Wilcox Road","","84 even","RG 12/401","123, 139
"
"11","3","157","Hartington Road","Wilcox Road","","86-122 even","RG 12/401","121-123
"
"11","3","158","Hartington Road","Wilcox Road","","Hartington House, Hartington Road","RG 12/401","121
"
"11","3","159","Harts Cottages","Andersons Walk","","","RG 12/392","107
"
"11","3","160","Hatch Row","Roupell Street","","","RG 12/387","127
"
"11","3","161","Hawke Road","Lunham Road","","","RG 12/419","99-101
"
"11","3","162","Haycroft Road","Bonham Road","","","RG 12/410","75-77
"
"11","3","163","Hayter Road","Brixton Hill","","1-95 odd","RG 12/410","49-52
"
"11","3","164","Hayter Road","Brixton Hill","","2-34 even","RG 12/410","37-38
"
"11","3","165","Hayter Road","Brixton Hill","","36-38 even","RG 12/410","52
"
