"19","8","1","Union Place","Orchard Street","continued as Bond Court","1-3","RG 12/80","68
"
"19","8","106","Westminster Abbey and Close","","","Poets Corner and Sanctuary","RG 12/82","8-9
"
"19","8","107","Westminster Buildings","Old Pye Street","","","RG 12/80","102-106
"
"19","8","108","Westminster Palace Hotel & Stables,","Victoria Street","","","RG 12/82","69-70, 74
"
"19","8","109","Westmoreland Place","Lupus Street","","","RG 12/75","110-116
"
"19","8","110","Westmoreland Street","Lupus Street","","","RG 12/75","122-138
"
"19","8","111","Wharves","","","128-129 Grosvenor Road","RG 12/76","61
"
"19","8","112","Wharves","","","Army & Navy & Victoria, Grosvenor Road","RG 12/78","176
"
"19","8","113","Wharves","","","Belgrave Dock Yard, Wharves","RG 12/76","82
"
"19","8","114","Wharves","","","Grosvenor Road","RG 12/81","118
"
"19","8","115","Wharves","","","Horseherry Draw Dock","RG 12/81","120-124
"
"19","8","116","Wharves","","","Horseshoe Wharf, Grosvenor Road","RG 12/76","117
"
"19","8","117","Wharves","","","Millbank Pier, Grosvenor Road","RG 12/78","174
"
"19","8","118","Wharves","","","Mowlems Wharf, Wharves","RG 12/81","128
"
"19","8","119","Wharves","","","Parliament & Westminster Vestry","RG 12/78","177
"
"19","8","120","Wharves","","","Thames Bank Wharf (113)","RG 12/76","52
"
"19","8","121","Wheeler Street","Vauxhall Bridge Road","","","RG 12/78","214
"
"19","8","122","Whisters Ground","Great Peter Street","now part of Monck Street","","","
"
"19","8","123","Whitehall","","","Chapel, Horse Guards, Dover House, Whitehall","RG 12/82","31
"
"19","8","124","Whitehall","","","Colonial, Foreign and India Offices","RG 12/82","32-33
"
"19","8","125","Whitehall","","","Home Office, Treasury, Education Buildings, Whitehall","RG 12/82","31
"
"19","8","126","Whitehall","","","Montague House & Gwydr House, Whitehall","RG 12/82","30-31
"
"19","8","127","Whitehall","","","Privy Council Office","RG 12/82","31-32
"
"19","8","128","Whitehall","","Remainder In STRAND District","","","
"
"19","8","129","Whitehall Gardens","Whitehall","","","RG 12/82","29-30
"
"19","8","130","Whitehall Yard","","","4-6 & Met Police Headquarter","RG 12/82","31
"
"19","8","131","Whitehall Yard","","Remainder in STRAND District","","","
"
"19","8","132","Whiteheads Yard","Regency Street","","","RG 12/80","9
"
"19","8","133","Whitehorse Street","Piccadilly","","","RG 12/69","134-136
"
"19","8","134","Whtttakers Street","Westbourne Street","","","RG 12/72","175-178
"
"19","8","135","Wilfred Street","James Street","formerly William Street & pt of Palace Street","","RG 12/82","151-153
"
"19","8","136","William Street","James Street ","now Wilfred Street","","","
"
"19","8","137","William Street","Lowndes Square, Knightsbridge","","1-5","RG 12/82","112-113
"
"19","8","138","William Street","Lowndes Square, Knightsbridge","","6-17","RG 12/62","56-57
"
