"23","1","153","Bennett Place","","","1-8","RG 12/340","24-26
"
"23","1","154","Bennett Place","","","15-31","RG 12/340","26-28
"
"23","1","155","Bennett Place","","","17A","RG 12/340","28
"
"23","1","156","Bennett Place","","","Mews, Bennett Place, Bennett Place","RG 12/340","29
"
"23","1","157","Bennett Place","","","Place, Bennett Place, Bennett Place","RG 12/340","29-30
"
"23","1","158","Bennett Place","","","Wakefield House, Bennett Place","RG 12/340","28-29
"
"23","1","159","Bennett Place","Stamford Street","","1A-3A","RG 12/340","23-24
"
"23","1","160","Beresford Buildings","Beresford Street","","","RG 12/356","113-114
"
"23","1","161","Beresford Street","Walworth Road","","1-269 odd","RG 12/357","4-17
"
"23","1","162","Beresford Street","Walworth Road","","Schoolhouse, Beresford Street","RG 12/357","14
"
"23","1","163","Beresford Street","Walworth Road","271-end odd & 246-end even see LAMBETH District","2-244 even","RG 12/356","114-127
"
"23","1","164","Bermondsey New Road","","","1-19","RG 12/345","8-10
"
"23","1","165","Bermondsey New Road","","Remainder in St OLAVE District","","",""
"23","1","166","Bermondsey Street","","Tower Bridge Road in 1902","","",""
"23","1","167","Berryfield Road","Manor Place","","","RG 12/364","81-83
"
"23","1","168","Bird Court","Green Street","","","RG 12/347","16
"
"23","1","169","Black Horse Court","Tabard Street","","","RG 12/351","31
"
"23","1","170","Black Prince Court","","","1-6","RG 12/366","111
"
"23","1","171","Black Prince Court","Walworth Road","","1-7","RG 12/366","110-111
"
"23","1","172","Blackfriars Bridge","","","Homeless, Blackfriars Bridge","RG 12/340","35
"
"23","1","173","Blackfriars Road","","","1-16","RG 12/340","4-6
"
"23","1","174","Blackfriars Road","","","104","RG 12/349","86, 102
"
"23","1","175","Blackfriars Road","","","105 pt","RG 12/349","84-86
"
"23","1","176","Blackfriars Road","","","105-124","RG 12/347","134
"
"23","1","177","Blackfriars Road","","","125-172","RG 12/347","100-106
"
"23","1","178","Blackfriars Road","","","17-89","RG 12/341","97-106
"
"23","1","179","Blackfriars Road","","","173-177","RG 12/341","13-14
"
"23","1","180","Blackfriars Road","","","178-179","RG 12/341","130-134
"
"23","1","181","Blackfriars Road","","","180-197","RG 12/341","14-16
"
"23","1","182","Blackfriars Road","","","202-240","RG 12/341","107-110
"
"23","1","183","Blackfriars Road","","","90","RG 12/341","144-147
"
"23","1","184","Blackfriars Road","","","91-94","RG 12/341","106-107
"
"23","1","185","Blackfriars Road","","","96-103","RG 12/349","87
"
"23","1","186","Blackfriars Road","","","Albion Place, Blackfriars Road","RG 12/340","4
"
"23","1","187","Blackfriars Road","","","Peabody Square","RG 12/349","106-127
"
"23","1","188","Blackfriars Road","","","Surrey Theatre","RG 12/349","84
"
"23","1","189","Blackman Street","","now pt Borough High Street","","",""
"23","1","190","Bland Street","Great Dover Street","see Great, Lower & Upper Bland Streets","","",""
"23","1","191","Blendon Row","East Street","","1-23 Victoria House, Blendon Row","RG 12/363","89-90, 103
"
"23","1","192","Blendon Row","East Street","","1-42 Albert House, Blendon Row","RG 12/363","90-93, 103
"
"23","1","193","Blendon Row","East Street","","101-124 Helena House, Blendon Row","RG 12/363","98-101, 103
"
"23","1","194","Blendon Row","East Street","","27-51 Louise House, Blendon Row","RG 12/363","101-103
"
"23","1","195","Blendon Row","East Street","","44-71 Beatrice House, Blendon Row","RG 12/363","93-96, 103
"
"23","1","196","Blendon Row","East Street","","72-100 Alexandra House, Blendon Row","RG 12/363","96-98, 103
"
"23","1","197","Blewitt Street","East Street","","","RG 12/359","113-117
"
"23","1","198","Blucher Street","Beresford Street","","","RG 12/356","112-113
"
"23","1","199","Blue Ball Alley","Mint Street","","","RG 12/346","44
"
"23","1","200","Boards Buildings & Court","Tabard Street","","","RG 12/344","105
"
"23","1","201","Boards Court","","empty","","",""
"23","1","202","Boddy Bridge","Upper Ground Street","","","RG 12/340","21-22
"
"23","1","203","Bodley Street","Heygate Street","","","RG 12/367","82
"
"23","1","204","Borough High Street","","","151-221 odd","RG 12/344","37-40
"
"23","1","205","Borough High Street","","","200-302 even","RG 12/346","82-88
"
"23","1","206","Borough High Street","","","223-303 odd","RG 12/352","4-7
"
"23","1","207","Borough High Street","","","305-321 odd","RG 12/352","55-56
"
"23","1","208","Borough High Street","","","323 Police Station & Buildings, Borough High Street","RG 12/352","56-57, 62-63
"
"23","1","209","Borough High Street","","","325 odd","RG 12/352","57
"
"23","1","210","Borough High Street","","","4 Bridge House Hotel, Borough High Street","RG 12/342","13
"
"23","1","211","Borough High Street","","","6-74 even","RG 12/342","11-13
"
"23","1","212","Borough High Street","","","63 White Hart Inn","RG 12/342","13-14
"
"23","1","213","Borough High Street","","","76-194 even","RG 12/344","3-7
"
"23","1","214","Borough High Street","","","People sleeping in the Street","RG 12/352","63
"
"23","1","215","Borough High Street","","now contains Blackman Street","1-149 odd","RG 12/342","4-11
"
"23","1","216","Borough Market","","","","RG 12/343","76-77
"
"23","1","217","Borough Road","","","1-48","RG 12/347","107-110
"
"23","1","218","Borough Road","","","113-119","RG 12/348","63
"
"23","1","219","Borough Road","","","66 & 68","RG 12/346","89
"
"23","1","220","Borough Road","","","70","RG 12/346","91
"
"23","1","221","Borough Road","","49-60 do not exist","61-67","RG 12/346","89-91
"
"23","1","222","Borough Road","","69-74 are Lillywhites Shop","75-74","RG 12/348","9-13
"
"23","1","223","Borrett Road","Manor Place","","","RG 12/365","4-12
"
"23","1","224","Boucher Place","Waterloo Road","","","RG 12/350","41
"
"23","1","225","Boundary Lane","Walworth Road","","42-56 even","RG 12/357","91
"
"23","1","226","Boundary Lane","Walworth Road","Includes Walworth Terrace in 1892","1-19 consecutive","RG 12/357","88-91
"
"23","1","227","Boundary Lane","Walworth Road","South Side in CAMBERWELL District","","",""
"23","1","228","Boundary Row","","","3","RG 12/340","94
"
"23","1","229","Boundary Row","","","4-12","RG 12/340","85-87
"
"23","1","230","Boundary Row","Blackfriars Road","","1-2","RG 12/340","85
"
"23","1","231","Boundary Terrace","pt Boundary Lane","","","RG 12/357","88
"
"23","1","232","Bowling Green Lane","","","5 & 6","RG 12/344","44
"
"23","1","233","Bowling Green Lane","Newcomen Street","","one only","RG 12/342","20
"
"23","1","234","Boyson Road","Camberwell Road","","even numbers","RG 12/357","105-117
"
"23","1","235","Boyson Road","Camberwell Road","","odd numbers","RG 12/357","93-105
"
"23","1","236","Brandon Street","","","2-88 even","RG 12/367","137-140
"
"23","1","237","Brandon Street","","","90-116 even","RG 12/362","124-126
"
"23","1","238","Brandon Street","","1-5 do not exist","107-127 odd","RG 12/363","58-59
"
"23","1","239","Brandon Street","Deacon Street","","7-97 odd","RG 12/354","95-101
"
"23","1","240","Brents Court","Borough High Street","","","RG 12/344","20-22
"
"23","1","241","Brettell Street","Merrow Street","","","RG 12/360","95-98
"
"23","1","242","Bridge Place","Southwark Bridge Road","","","RG 12/342","82-84
"
"23","1","243","Bridge Road","","","22-88","RG 12/343","35-37
"
"23","1","244","Brigade House Buildings","Southwark Bridge Road","","","RG 12/346","74-76
"
"23","1","245","Brine Place and Cottages","Newington Butts","Was Rose Court","","RG 12/366","50-51
"
"23","1","246","Britannia Chambers","Lawson Street","","","RG 12/351","77-78
"
"23","1","247","Broadwall","","","114-148 even","RG 12/340","108-110
"
"23","1","248","Broadwall","","","117 odd","RG 12/340","112
"
"23","1","249","Broadwall","","","119-131 odd","RG 12/340","107-108
"
"23","1","250","Broadwall","","","150 even","RG 12/340","110 - 112
"
"23","1","251","Broadwall","","","152-170 even","RG 12/340","110-111
"
"23","1","252","Broadwall","","","2-20 even","RG 12/340","14-17
"
"23","1","253","Broadwall","","","22-58 even","RG 12/340","68-71
"
"23","1","254","Broadwall","","","35-49 odd","RG 12/340","76-77
"
"23","1","255","Broadwall","","","60 even","RG 12/340","71, 74
"
"23","1","256","Broadwall","","","62-104 even","RG 12/340","71-74
"
"23","1","257","Broadwall","","","65 odd","RG 12/340","78
"
"23","1","258","Broadwall","","","67-87 odd","RG 12/340","74-76
"
"23","1","259","Broadwall","","","87A-95 odd","RG 12/340","81
"
"23","1","260","Broadwall","","","97-115 odd","RG 12/340","106-107
"
"23","1","261","Broadwall","","51-57 empty","59-63 odd","RG 12/340","76
"
"23","1","262","Broadwall","Stamford Street","","1-33 odd","RG 12/340","14-18
"
"23","1","263","Brockham Street","Union Road","","even numbers","RG 12/352","39-41
"
"23","1","264","Brockham Street","Union Road","","odd numbers","RG 12/352","49
"
"23","1","265","Brockley Terrace","Alvey Street","","","RG 12/358","116-119
"
