"13","5","1","Magpie Alley or Court","Whitefriars Street","","unoccupied, Magpie Alley or Court","RG 12/239","2
"
"13","5","111","Newgate Street","","54-75 do not exist","76-80","RG 12/239","59
"
"13","5","112","Newman Court","Cornhill","","","RG 12/240","4
"
"13","5","113","Nicholas Lane","Lombard Street","","mixed, Nicholas Lane","RG 12/240","16-17, 37
"
"13","5","114","Nicholas Passage","Nicholas Lane","","","RG 12/240","16
"
"13","5","115","Nicholl Square","Well Street","","uninhabited, Nicholl Square, 1-3","RG 12/236","4-5
"
"13","5","116","Nicholl Square","Well Street","see notes on f.70","uninhabited, Nicholl Square, 17-23","RG 12/236","106
"
"13","5","117","Noble Street","Gresham Street","","1-3","RG 12/239","76
"
"13","5","118","Noble Street","Gresham Street","","10-15","RG 12/239.","77-78
"
"13","5","119","Noble Street","Gresham Street","","16-27","RG 12/239","99
"
"13","5","120","Noble Street","Gresham Street","","28-33","RG 12/239","79
"
"13","5","121","Noble Street","Gresham Street","","34-43","RG 12/239","100
"
"13","5","122","Noble Street","Gresham Street","","44","RG 12/239","76
"
"13","5","123","Noble Street","Gresham Street","","5-9","RG 12/239","100
"
"13","5","124","Noble Street","Gresham Street","","Coachmakers Hall, Noble Street","RG 12/239","77
"
"13","5","125","Norgrove Buildings","Clarks Place","","","RG 12/241","40
"
"13","5","126","North Buildings","Finsbury Circus continuation of South Place","","","RG 12/241","100-101
"
"13","5","127","Northumberland Alley","Fenchurch Street","","","RG 12/240","96
"
"13","5","128","Norwich Court","Furnival Street","","","RG 12/238","51-53
"
"13","5","129","Oat Lane","Wood Street","","unoccupied, Oat Lane","RG 12/239","78
"
"13","5","130","Old Bailey","","","18-25","RG 12/237","35-36
"
"13","5","131","Old Bailey","","","60-70","RG 12/239","65
"
"13","5","132","Old Bailey","","","Newgate Prison","RG 12/237","36-37
"
"13","5","133","Old Bailey","","","Sessions House, Old Bailey","RG 12/237","35
"
"13","5","134","Old Bailey","","26-47 do not exist","48-59","RG 12/237","35
"
"13","5","135","Old Broad Street","London Wall","","1-8","RG 12/241","47
"
"13","5","136","Old Broad Street","London Wall","","42-50","RG 12/241","5
"
"13","5","137","Old Broad Street","London Wall","","53-70","RG 12/241","66-67
"
"13","5","138","Old Broad Street","London Wall","","71-82","RG 12/241","47
"
"13","5","139","Old Broad Street","London Wall","","9-41","RG 12/241","64-66
"
"13","5","140","Old Broad Street","London Wall","","City of London Club","RG 12/241","65
"
"13","5","141","Old Change","","","1-8","RG 12/239","85
"
"13","5","142","Old Change","","","16-27","RG 12/239","46
"
"13","5","143","Old Change","","","22","RG 12/239","51
"
"13","5","144","Old Change","","","32-40","RG 12/239","81
"
"13","5","145","Old Change","","","34","RG 12/239","35
"
"13","5","146","Old Change","","","9-15","RG 12/239","35
"
"13","5","147","Old Jewry","","","11-19","RG 12/239","112
"
"13","5","148","Old Jewry","","","22-34","RG 12/239","113
"
"13","5","149","Old Jewry","","","35-36","RG 12/239","126
"
"13","5","150","Old Jewry","","","8-10","RG 12/239","169
"
"13","5","151","Old Jewry","Poultry","","1-5","RG 12/239","126
"
"13","5","152","Old Swan Lane","","see Swan Lane","","",""
"13","5","153","Oxford Court","Cannon Street","","","RG 12/240","32
"
