"17","6","1","Paradise Cottages","Gray Street","","","RG 12/327","18-19
"
"17","6","128","Rook Street","Poplar High Street","","","RG 12/332","53-58
"
"17","6","129","Rose Cottages","pt of Castor Street","","","RG 12/331","123
"
"17","6","130","Rosebank Road","St Stephens Road","","","RG 12/315","24-26
"
"17","6","131","Roserton Street","Manchester Road","No 1 only and St Johns Vicarage and Mission Hall","","RG 12/336","18
"
"17","6","132","Rothbury Road","Wansbeck Road","","Road, Rothbury Road","RG 12/317","105-110
"
"17","6","133","Rothbury Road","Wansbeck Road","","Terrace, Rothbury Road","RG 12/317","108-109
"
"17","6","134","Rothbury Road","Wansbeck Road","numbers mixed and repeated","Buildings, Rothbury Road","RG 12/317","110-111
"
"17","6","135","Rothbury Terrace","Rothbury Road","","","RG 12/317","108-109
"
"17","6","136","Rounton Road","Campbell Road","","1-17 Odd","RG 12/321","40-42
"
"17","6","137","Rounton Road","Campbell Road","","19-77 Odd","RG 12/322","72-76
"
"17","6","138","Rounton Road","Campbell Road","","2-18 Even","RG 12/321","40-42
"
"17","6","139","Rounton Road","Campbell Road","","20-78 Even","RG 12/322","76-80
"
"17","6","140","Rowlett Street","St Leonards Road","","","RG 12/327","42-47
"
"17","6","141","Russell Street","Brunswick Street","now called Yabsley Street","","",""
"17","6","142","Russell Street","Chrisp Street","now pt of Carmen Street","","",""
"17","6","143","Ruston Street","Parnell Road","","","RG 12/317","14-19
"
