"23","7","1","St Agnes Villas & Vicarage","Kennington Park","","","RG 12/364","4
"
"23","7","105","Smyrks Road","Old Kent Road","","1-25 odd","RG 12/345","85-86
"
"23","7","106","Smyrks Road","Old Kent Road","","2-24 even","RG 12/345","86-88
"
"23","7","107","Smyrks Road","Old Kent Road","","26-102 even","RG 12/358","43-47
"
"23","7","108","Smyrks Road","Old Kent Road","","27-105 odd","RG 12/358","39-43
"
"23","7","109","South Place","Kennington Park Road","","","RG 12/364","7-8
"
"23","7","110","South Street","East Street","","2-26 even","RG 12/359","95-97
"
"23","7","111","South Street","East Street","","28-64 even","RG 12/360","12-15
"
"23","7","112","South Street","East Street","","57-123 odd","RG 12/359","8-12
"
"23","7","113","South Street","East Street","","64-122 even","RG 12/360","44-48
"
"23","7","114","South Street","East Street","later takes in North Street","1-55 odd","RG 12/359","85-89
"
"23","7","115","South Street","Southwark Square","","","RG 12/342","79
"
"23","7","116","South Street","West Square","now Austral Street","","","
"
"23","7","117","South-Eastern Chambers","East Street","","","RG 12/359","75
"
"23","7","118","Southwark Bridge Road","","","1-113 odd","RG 12/342","41-45
"
"23","7","119","Southwark Bridge Road","","","122-162 even","RG 12/347","34-37
"
"23","7","120","Southwark Bridge Road","","","131-139 odd","RG 12/346","18-20
"
"23","7","121","Southwark Bridge Road","","","139-157 odd","RG 12/346","77-78
"
"23","7","122","Southwark Bridge Road","","","164-228 even","RG 12/348","22-27
"
"23","7","123","Southwark Bridge Road","","","171-197 odd","RG 12/346","73-74
"
"23","7","124","Southwark Bridge Road","","","2-66 even","RG 12/342","46-48
"
"23","7","125","Southwark Bridge Road","","","201-223 odd (Queens Buildings)","RG 12/346","91-93
"
"23","7","126","Southwark Bridge Road","","","229-269 odd","RG 12/348","27-29
"
"23","7","127","Southwark Bridge Road","","","68-74 even","RG 12/346","20-21
"
"23","7","128","Southwark Bridge Road","","","82-88 Fire Station, Southwark Bridge Road","RG 12/342","49-54
"
"23","7","129","Southwark Bridge Road","","","90-120 even","RG 12/346","151-154
"
"23","7","130","Southwark Bridge Road","","","London Salvages Corps","RG 12/346","76-77
"
"23","7","131","Southwark Bridge Road","","","19-105 odd","RG 12/342","138-143
"
"23","7","132","Southwark Bridge Road","","","2-68 even","RG 12/342","136-138
"
"23","7","133","Southwark Street","","","1-59 odd","RG 12/342","87-88
"
"23","7","134","Southwark Street","","","118-138 even","RG 12/341","81
"
"23","7","135","Southwark Street","","","2-114 even","RG 12/342","89-94
"
"23","7","136","Southwark Street","","","61-93 odd","RG 12/342","88-89
"
"23","7","137","Southwark Street","","","97-115 odd","RG 12/341","81
"
