"18","7","108","Suffolk Road","Ipswich Road","","","RG 12/255","96-102
"
"18","7","109","Sun Street","Finsbury Square","","1-3 Odd empty","RG 12/234","1
"
"18","7","110","Sun Street","Finsbury Square","","2 Even empty","RG 12/234","1
"
"18","7","111","Sun Street","Finsbury Square","","4(3) Even empty","RG 12/242","59
"
"18","7","112","Sun Street","Finsbury Square","","5-37 Odd","RG 12/242","130-131
"
"18","7","113","Sun Street","Finsbury Square","All numbers after these no longer exist due to Railways to Liverpool Street","6-50 Even","RG 12/242","131-134
"
"18","7","114","Sworders Buildings","287-299 Chatham Avenue","","","RG 12/245","49
"
"18","7","115","Sylvia Street","Wenlock Street","","","RG 12/246","10-13
"
"18","7","116","Tabernacle Street","Worship Street","","1-27 Odd","RG 12/234","31-33
"
"18","7","117","Tabernacle Street","Worship Street","","104 Even","RG 12/243","207
"
"18","7","118","Tabernacle Street","Worship Street","","106-134 Even","RG 12/243","202-203
"
"18","7","119","Tabernacle Street","Worship Street","","144-146 Even","RG 12/243","123
"
"18","7","120","Tabernacle Street","Worship Street","","30-78 Even","RG 12/234","33-34
"
"18","7","121","Tabernacle Street","Worship Street","","63-67 Odd","RG 12/234","43
"
"18","7","122","Tabernacle Street","Worship Street","","80-94 Even","RG 12/234","43-44
"
"18","7","123","Tabernacle Street","Worship Street","","96-102 Even","RG 12/243","202
"
"18","7","124","Tabernacle Street","Worship Street","29-53 Odd uninhabited","55-61 Odd","RG 12/234","33
"
"18","7","125","Tabernacle Street","Worship Street","Many places uninhabited","69-97 Odd","RG 12/243","203-204
"
"18","7","126","Tabernacle Street","Worship Street","was Windmill Street and Tabernacle Walk","4-28 Even","RG 12/234","33
"
"18","7","127","Tabernacle Street","Worship Street","","Police Court Lodge, Tabernacle Street","RG 12/234","33
"
"18","7","128","Talvera Place","Nicholl Street","","","RG 12/254","41-43
"
"18","7","129","Taplow Street","Edward Street","was James and Windsor Streets","","RG 12/245","118-128
"
"18","7","130","Thomas Street","Curtain Road","later Gatesborough Street","","RG 12/243","188
"
"18","7","131","Trafalgar Road","Middleton Road","now includes Nelson Terrace etc.","","RG 12/255","37-41
"
"18","7","132","Tuflerie Street","Hackney Road","","6-60 Even","RG 12/254","83-86
"
"18","7","133","Tuflerie Street","Hackney Road","","62-70 Even","RG 12/254","86
"
"18","7","134","Tuilerie Street","Hackney Road","","1-51 Odd","RG 12/254","112-114
"
"18","7","135","Turner Square","Hoxton Street","","","RG 12/248","163-168
"
"18","7","136","Turners Place","Wenlock Road","","","RG 12/245","130-134
"
"18","7","137","Tyssen Street","Hoxton Street","","","RG 12/251","71-73
"
