"11","1","119","Arthur Road","Mostyn Road","","73-81 odd","RG 12/405","8-9
"
"11","1","120","Arthur Road","Mostyn Road","","83 odd","RG 12/405","8, 33
"
"11","1","121","Arthur Road","Mostyn Road","","85-89 odd","RG 12/405","8
"
"11","1","122","Arthur Road","Mostyn Road","","Even numbers","RG 12/404","173-177
"
"11","1","123","Ashmole Cottages","part Ashmole Place","","","RG 12/399","24-25
"
"11","1","124","Ashmole Place","Church Street,","later takes in Ashmore Cottages & Place in 1900 with Albert Cottages","","RG 12/399","24-25
"
"11","1","125","Ashmore Grove","Acre Lane","","","RG 12/408","84-85
"
"11","1","126","Ashmore Place","Church Street","becomes part Ashmole Place in 1900","","RG 12/399","25-27
"
"11","1","127","Assaye Street","Horace Street","was Wellington Place","","RG 12/401","48-49
"
"11","1","128","Asylum Cottages","Mead Row","","","RG 12/391","6
"
"11","1","129","Asylums","Knights Hill Road","","Jews Hospital & Orphan Asylum","RG 12/419","168-175
"
"11","1","130","Atlantic Road","Coldharbour Lane","","14-52 even","RG 12/414","52-53
"
"11","1","131","Atlantic Road","Coldharbour Lane","","2-12 even","RG 12/414","47-48
"
"11","1","132","Atlantic Road","Coldharbour Lane","","54-86 even","RG 12/414","23-25
"
"11","1","133","Atlantic Road","Coldharbour Lane","","Atlantic Public House, Atlantic Road","RG 12/414","25
"
"11","1","134","Atlantic Road","Coldharbour Lane","1-51 odd Railway Arches non residential","53-81 odd","RG 12/414","59-60
"
"11","1","135","Aubin Street","Waterloo Road","Demolition for Waterloo Station","83-97 only","RG 12/389","135-138
"
"11","1","136","Auckland Hill","Norwood High Street","","1-36 and others","RG 12/418","93-94, 95
"
"11","1","137","Auckland Hill","Norwood High Street","","Named houses, Auckland Hill","RG 12/418","83-84
"
"11","1","138","Auckland Hill","Norwood High Street","","Named houses, Auckland Hill","RG 12/418","92-93
"
"11","1","139","Auckland Place","Auckland Hill","","","RG 12/418","94-95
"
"11","1","140","Auckland Street","Upper Kennington Lane","","","RG 12/397","83-93
"
"11","1","141","Auckland Villas & Tavern","part Gipsy Hill","","","RG 12/418","85-86
"
"11","1","142","Austral Street","West Square","","17-27 odd","RG 12/393","15-16
"
"11","1","143","Austral Street","West Square","","2 only even","RG 12/393","15
"
"11","1","144","Austral Street","West Square","","Orphans Home (Female)","RG 12/350","127-132
"
"11","1","145","Austral Street","West Square","was South Street","1-15odd","RG 12/349","65-66
"
"11","1","146","Avenue Cottage","Hercules Terrace","","","RG 12/391","89
"
"11","1","147","Avenue Park Road","Norwood Road","","","RG 12/417","101-102
"
"11","1","148","Avenue Park Villas","Avenue Park Road","","","RG 12/417","100-101
"
"11","1","149","Avenue, The","Acre Lane","","","RG 12/408","6-9
"
"11","1","150","Aytoun Road","Sidney Road","","even numbers","RG 12/407","53-56
"
"11","1","151","Aytoun Road","Sidney Road","","odd numbers","RG 12/407","42-45
"
"11","1","152","Baker Street","Brixton Road","now contains Clarendon Retreat","","RG 12/404","80-84
"
"11","1","153","Ballater Road","Acre Lane","","11 odd","RG 12/408","49
"
"11","1","154","Ballater Road","Acre Lane","","13-81 odd","RG 12/408","42-45
"
"11","1","155","Ballater Road","Acre Lane","","1odd","RG 12/408","42
"
"11","1","156","Ballater Road","Acre Lane","","3 odd","RG 12/408","42, 49
"
"11","1","157","Ballater Road","Acre Lane","","5-9 odd","RG 12/408","42
"
"11","1","158","Ballater Road","Acre Lane","","even numbers","RG 12/408","45-49
"
"11","1","159","Bankton Road","Talma Road","","","RG 12/413","129-131
"
"11","1","160","Barnes Cottages","Crossford Street","","","RG 12/405","137-138
"
"11","1","161","Barnes Terrace","Granby Place","","","RG 12/389","72-73
"
"11","1","162","Barnfield Road","Sainsbury Road","","","RG 12/419","75-80
"
"11","1","163","Barnwell Road","Railton Road","","","RG 12/413","136-146
"
"11","1","164","Barrington Road","Angell Road","","1-43 odd","RG 12/416","86-89
"
"11","1","165","Barrington Road","Angell Road","","2-72 even","RG 12/416","86-90
"
"11","1","166","Barrington Road","Angell Road","","45-63 odd","RG 12/416","130
"
"11","1","167","Barrington Road","Angell Road","","74-96 even","RG 12/416","130-131
"
"11","1","168","Barston Road","Chrstnut Road","","","RG 12/417","123-124
"
"11","1","169","Bartley Street","Cornwall Road","was Elizabeth Street","","RG 12/410","93-97
"
"11","1","170","Bartwell Buildings","Hamilton Road","","","RG 12/418","18-19
"
"11","1","171","Beach Street","Dorset Road","Beech Cottage on f 88","","RG 12/400","71-73
"
"11","1","172","Beacon Dale Road","Gipsy Hill","becomes Becondale Road in 1903","","RG 12/419","85-87
"
"11","1","173","Beaconsfield Cottages","Change Alley","","","RG 12/418","99
"
"11","1","174","Beaconsfield Place","Knights Hill Road","","","RG 12/418","130
"
"11","1","175","Beadman Street","Gloucester Street","","","RG 12/418","127-128
"
"11","1","176","Beardell Street","Camden Hill Road","","","RG 12/419","144
"
"11","1","177","Beaufoy Terrace","part South Lambeth Road","","","RG 12/399","137-138
"
"11","1","178","Bedford Cottages and Court or Place","Fenwick Place","","","RG 12/409","9-10
"
"11","1","179","Bedford Cottages and Nursery","Acre Lane","","","RG 12/408","81
"
"11","1","180","Bedford House","St Lawrence Road","","","RG 12/405","101
"
"11","1","181","Bedford Road","Clapham Road","","1-33 odd","RG 12/409","5-6
"
"11","1","182","Bedford Road","Clapham Road","","35-51 odd","RG 12/408","116
"
"11","1","183","Bedford Road","Clapham Road","","55-61 odd","RG 12/408","116
"
"11","1","184","Bedford Road","Clapham Road","","63 & 69? odd","RG 12/408","142
"
"11","1","185","Bedford Road","Clapham Road","","65-67 odd","RG 12/408","116
"
"11","1","186","Bedford Road","Clapham Road","","71-151 odd","RG 12/408","89-93
"
"11","1","187","Bedford Road","Clapham Road","Even numbers in WANDSWORTH District","","",""
"11","1","188","Beech Street","Dorset Road","Beech Cottage on f 88","","RG 12/400","71-73
"
"11","1","189","Belgrave Mansions","Coldharbour Lane","","","RG 12/416","113
"
"11","1","190","Belgrave Terrace","Stockwell Road","","","RG 12/410","20-21
"
"11","1","191","Belinda Road","Coldharbour Lane","","","RG 12/416","116-121
"
"11","1","192","Belle Vue and Cottage","Royal Circus?","","","RG 12/417","87
"
"11","1","193","Bellefields Road","Stockwell Road","","even numbers","RG 12/410","13-16
"
"11","1","194","Bellefields Road","Stockwell Road","","odd numbers","RG 12/407","90-92
"
"11","1","195","Bellevue","part Pulross Road","","","RG 12/409","108
"
"11","1","196","Belmont Cottages","Esher Street","","","RG 12/396","113
"
"11","1","197","Belmore Street","Wandsworth Road","","","RG 12/402","107-109
"
"11","1","198","Belvedere Crescent","Belvedere Road","","1-11","RG 12/389","13-16
"
"11","1","199","Belvedere Crescent","Belvedere Road","","12-14","RG 12/389","94-95
"
"11","1","200","Belvedere Crescent","Belvedere Road","","8A-12A","RG 12/389","95
"
"11","1","201","Belvedere Road","Westminster Bridge Road","","1-35 odd","RG 12/389","4
"
"11","1","202","Belvedere Road","Westminster Bridge Road","","100-136 even","RG 12/389","87-90
"
"11","1","203","Belvedere Road","Westminster Bridge Road","","2-96 even","RG 12/389","4-11
"
