"18","5","109","Norfolk Buildings","New Norfolk Street","Some entered as Gardens in error","","RG 12/243","81-86
"
"18","5","110","Norfolk Gardens","Batemans Row","Norfolk Gardens was Place","","RG 12/243","78-81
"
"18","5","111","Normans Buildings","Garden Place","","","RG 12/253","63-64
"
"18","5","112","Norris Street","Hyde Road","","1-21 Odd","RG 12/250","144-145
"
"18","5","113","Norris Street","Hyde Road","","32-38 Even","RG 12/250","125-126
"
"18","5","114","Norris Street","Hyde Road","","4-28 Even","RG 12/250","145-147
"
"18","5","115","North Place","Moye Street","later part Talavera PIace","","RG 12/254","59
"
"18","5","116","Northport Street","Hyde Road","","15-21 Odd","RG 12/250","47-48
"
"18","5","117","Northport Street","Hyde Road","","18-20 Even","RG 12/250","48
"
"18","5","118","Northport Street","Hyde Road","","2-16 Even","RG 12/249","124-125
"
"18","5","119","Northport Street","Hyde Road","","22-26 Even","RG 12/250","78
"
"18","5","120","Northport Street","Hyde Road","","25-29 Odd","RG 12/250","77-78
"
"18","5","121","Northport Street","Hyde Road","","28-32 Even","RG 12/250","94
"
"18","5","122","Northport Street","Hyde Road","","St Saviours Vicarage, Northport Street","RG 12/250","94
"
"18","5","123","Northport Street","Hyde Road","","1-11 Odd","RG 12/250","20-21
"
"18","5","124","Norwich Road","Pownall Road","","Odd Nos","RG 12/255","106-107
"
"18","5","125","Norwich Road","Pownall Road","Note Nos 62-65 on f 107 are Regents Row","Even Nos","RG 12/255","95-96
"
"18","5","126","Nuttall Street","Kingsland Road","","1-19 Odd","RG 12/251","125-126
"
"18","5","127","Nuttall Street","Kingsland Road","other numbers may be Reeves Place","","RG 12/251","157-159
"
"18","5","128","Oakford Place","Goldsmith Row","","","RG 12/253","144-145
"
"18","5","129","Old Court","Hackney Road","No 1 my be MISSING after f 216","2","RG 12/242","213
"
"18","5","130","Old Street","","","262-264 Even","RG 12/243","205
"
"18","5","131","Old Street","","","266-358 Even","RG 12/243","92-94
"
"18","5","132","Old Street","","","335-345 Odd","RG 12/243","53
"
"18","5","133","Old Street","","","360-378 Even","RG 12/243","70-71
"
"18","5","134","Old Street","","","384-386 Even","RG 12/243","72
"
"18","5","135","Old Street","","","384-386 Even","RG 12/243","72
"
"18","5","136","Old Street","","","Almshouses, Old Street","RG 12/243","53
"
"18","5","137","Old Street","","","Fire Station and Town Hall, Old Street","RG 12/243","71
"
"18","5","138","Old Street","","","Tabernacle Chapel House, Old Street","RG 12/243","93
"
"18","5","139","Old Street","","1-181 Odd and 2-260 Even","249-311 Odd6-8","RG 12/248","
"
"18","5","140","Old Street","","see HOLBORN District","313-333 Odd","RG 12/243","98
"
"18","5","141","Old Street","","","183-247 Odd","RG 12/247","104-106
"
"18","5","142","Ormsby Street","Pearson Street","","41-65 Odd","RG 12/252","172-174
"
"18","5","143","Ormsby Street","Pearson Street","1-39 Odd do not exist (Railways)","38-50 Even","RG 12/252","174-175
"
"18","5","144","Ormsby Street","Pearson Street","now contains Parker Street","2-36 Even","RG 12/252","63-65
"
