"11","7","158","Solon Road","Acre Lane","","1-21 odd","RG 12/408","52-53
"
"11","7","159","Solon Road","Acre Lane","","23 odd","RG 12/408","57
"
"11","7","160","Solon Road","Acre Lane","","25-67 odd","RG 12/408","53-55
"
"11","7","161","Solon Road","Acre Lane","","even numbers","RG 12/408","62-66
"
"11","7","162","Somerleyton Road","Coldharbour Lane","","","RG 12/414","60-67
"
"11","7","163","Somers Place and Road","Brixton Hill","","","RG 12/412","17-20
"
"11","7","164","South Island Place","Brixton Road","","1-3 odd","ERG 12/403","155
"
"11","7","165","South Island Place","Brixton Road","","2-56 even","RG 12/403","152-155
"
"11","7","166","South Island Place","Brixton Road","","5-73 odd","RG 12/404","59-62
"
"11","7","167","South Lambeth Road","","","108-136 even","RG 12/400","12-13
"
"11","7","168","South Lambeth Road","","","111-115 odd","RG 12/400","37-38
"
"11","7","169","South Lambeth Road","","","117 odd","RG 12/400","39
"
"11","7","170","South Lambeth Road","","","119-125 odd","RG 12/400","46
"
"11","7","171","South Lambeth Road","","","127-139 odd","RG 12/400","57-58
"
"11","7","172","South Lambeth Road","","","141 odd","RG 12/400","61-62
"
"11","7","173","South Lambeth Road","","","143 odd","RG 12/400","65
"
"11","7","174","South Lambeth Road","","","145-147 odd","RG 12/400","62
"
"11","7","175","South Lambeth Road","","","146-168 even","RG 12/400","14
"
"11","7","176","South Lambeth Road","","","149 odd","RG 12/400","65
"
"11","7","177","South Lambeth Road","","","151-161 odd","RG 12/400","62-63
"
"11","7","178","South Lambeth Road","","","163-165 odd","RG 12/400","65
"
"11","7","179","South Lambeth Road","","","167-171 odd","RG 12/400","63
"
"11","7","180","South Lambeth Road","","","173 odd","RG 12/400","65
"
"11","7","181","South Lambeth Road","","","175 odd","RG 12/400","63
"
"11","7","182","South Lambeth Road","","","177-273 odd","RG 12/400","120-124
"
"11","7","183","South Lambeth Road","","","2-72 even","RG 12/399","172-175
"
"11","7","184","South Lambeth Road","","","244-302 even","RG 12/400","195-198
"
"11","7","185","South Lambeth Road","","","304-350 even","RG 12/400","219-221
"
"11","7","186","South Lambeth Road","","","31-35 odd","RG 12/399","133
"
"11","7","187","South Lambeth Road","","","57-87 odd","RG 12/399","138-140
"
"11","7","188","South Lambeth Road","","","74-106 even","RG 12/399","207-209
"
"11","7","189","South Lambeth Road","","","93-107 odd","RG 12/400","32-33
"
"11","7","190","South Lambeth Road","","","Beaufoy Terrace, South Lambeth Road","RG 12/399","137-138
"
"11","7","191","South Lambeth Road","","","Crown Works, South Lambeth Road","RG 12/399","137
"
"11","7","192","South Lambeth Road","","","Library, South Lambeth Road","RG 12/400","14
"
"11","7","193","South Lambeth Road","","","St Anns Vicarage, South Lambeth Road","RG 12/399","207
"
"11","7","194","South Lambeth Road","","","Schoolhouse, South Lambeth Road","RG 12/400","12
"
"11","7","195","South Lambeth Road","","1-3 do not exist","5-29 odd","RG 12/399","84-86
"
"11","7","196","South Lambeth Road","","170-180 even Do not exist RG 12/400","182-242 even","RG 12/400","178-182
"
"11","7","197","South Place","South Street","(Colwyn Street)","","RG 121/391","39
"
"11","7","198","South Street","Hercules Buildings,","Later Colwyn Street","","RG 12/391","32-39
"
"11","7","199","South View","Elm Grove","","","RG 12/418","118
"
"11","7","200","Southampton Street","Nine Elms Lane","","East, Southampton Street","RG 12/399","196-199
"
"11","7","201","Southampton Street","Nine Elms Lane","","West, Southampton Street","RG 12/399","194-196
"
"11","7","202","Southesk Street","Lingham Street","was South Street","","RG 12/405","132-135
"
"11","7","203","Southville","Wandsworth Road","","even numbers","RG 12/402","3-9- 59 -
"
"11","7","204","Southville","Wandsworth Road","","odd numbers","RG 12/401","143-148
"
"11","7","205","Southwell Terrace","Lewis Road","","","RG 12/415","16-17
"
"11","7","206","Speedham Road","Stockwell Park Walk","entered as Spunham or Speenham","","RG 12/407","46-48
"
"11","7","207","Spenser Road","Dulwich Road","","","RG 12/413","7-12
"
"11","7","208","Spring Gardens","Neptune Street","","","RG 12/401","83-84
"
"11","7","209","Spring Gardens","Vauxhall Walk","","","RG 12/397","28-30
"
"11","7","210","Spring Terrace","York Road","","","RG 12/389","45-46
"
"11","7","211","Springfield Parade","","becomes part Wandsworth Road in 1907","","RG 12/402","64-65
"
"11","7","212","Springfield Place","Wandsworth Road","","","RG 12/402","71-74
"
"11","7","213","Stafford Road","Wynne Road","","","RG 12/407","14-16
"
"11","7","214","Stainsborough House","Thorparch Road","","","RG 12/402","98
"
"11","7","215","Stamford Buildings","South Lambeth Road","","","RG 12/400","38-39
"
"11","7","216","Stamford Street","","","1 (16 Blackfriars Road)","RG 12/340","6
"
"11","7","217","Stamford Street","","","125-169 odd","RG 12/388","93-95
"
"11","7","218","Stamford Street","","","140-184 even","RG 12/388","95-99
"
"11","7","219","Stamford Street","","","4-64 even","RG 12/340","6-14
"
"11","7","220","Stamford Street","","","66-138 even","RG 12/387","87-93
"
"11","7","221","Stamford Street","Blackfriars Road","1-59 odd see St SAVIOUR SOUTHWARK","61-123 odd","RG 12/387","97-102
"
"11","7","222","Stangate Street","Lambeth Palace Road","","15-31 odd","RG 12/391","168-170
"
"11","7","223","Stangate Street","Lambeth Palace Road","","2-46 even","RG 12/391","151-154
"
"11","7","224","Stangate Street","Lambeth Palace Road","","25-35 odd","RG 12/392","3-4
"
"11","7","225","Stangate Street","Lambeth Palace Road","","5-13 odd","RG 12/392","4
"
"11","7","226","Stangate Street","Lambeth Palace Road","","Chambers, Stangate Street, 1-6","RG 12/392","4
"
"11","7","227","Stangate Street","Lambeth Palace Road","","Mews (Empty)","RG 12/392","16
"
"11","7","228","Stanley Place Almshouses","Fentiman Road","","","RG 12/399","153
"
"11","7","229","Stanley Villas","Studley Road","","","RG 12/401","29
"
"11","7","230","Stannary Street","Kennington Road","","","RG 12/398","118-123
"
"11","7","231","Stansfield Road","Stockwell Road","","even numbers","RG 12/410","28-30
"
"11","7","232","Stansfield Road","Stockwell Road","","odd numbers","RG 12/409","131-133
"
"11","7","233","Star Stables Yard","Doon Street","","","RG 12/387","36
"
"11","7","234","Station Approach","Rathgar Road","","","RG 12/406","109-110
"
"11","7","235","Station Avenue","Coldharbour Lane","","","RG 12/406","109-110
"
"11","7","236","Station Road","Coldharbour Lane,","Brixton Road","","RG 12/414","35, 40
"
"11","7","237","Station Road","Gipsy Hill,","now Sainsbury Road","","",""
"11","7","238","Station Terrace","Camberwell Road","","","RG 12/406","218-219
"
"11","7","239","Station Vale","Station Terrace","","","RG 12/406","224
"
"11","7","240","Stewarts Place","Cornwall Road","","","RG 12/411","62-63
"
"11","7","241","Stockwell Avenue and Mews","Stockwell Road","","1-5","RG 12/410","20
"
"11","7","242","Stockwell Avenue and Mews","Stockwell Road","","Remainder and Mews, Stockwell Avenue and Mews","RG 12/407","102
"
"11","7","243","Stockwell Cottages","Stockwell Grove","","","RG 12/405","129-130
"
"11","7","244","Stockwell Crescent","Clapham Road","becomes Terrace in 1903","","RG 12/400","124
"
"11","7","245","Stockwell Green","Stockwell Road","","1-16","RG 12/405","145-146
"
"11","7","246","Stockwell Green","Stockwell Road","","17-59","RG 12/409","121-125
"
"11","7","247","Stockwell Grove","Stockwell Green","","","RG 12/405","130-132
"
"11","7","248","Stockwell Mansions","Eastcote Street","","","RG 12/405","143-144
"
"11","7","249","Stockwell Park Crescent","","","1-15 odd","RG 12/405","61-62
"
"11","7","250","Stockwell Park Crescent","","","17-37 odd","RG 12/405","64-65
"
"11","7","251","Stockwell Park Crescent","","","18-62 even","RG 12/405","62-64
"
"11","7","252","Stockwell Park Crescent","","","2-16 even","RG 12/405","61
"
"11","7","253","Stockwell Park Road","Clapham Road","","1-97 odd","RG 12/405","71-74
"
"11","7","254","Stockwell Park Road","Clapham Road","","2-84 even","RG 12/405","57-61
"
"11","7","255","Stockwell Park Road","Clapham Road","","86-184 even","RG 12/407","36-41
"
"11","7","256","Stockwell Park Road","Clapham Road","","99-169 odd","RG 12/407","34-36
"
"11","7","257","Stockwell Park Walk","Brixton Road","","8-15","RG 12/407","75
"
"11","7","258","Stockwell Park Walk","Brixton Road","was York Villas and Park Walk","1-7","RG 12/407","48-49
"
"11","7","259","Stockwell Road","Clapham Road","","1-77 odd","RG 12/405","39-41
"
"11","7","260","Stockwell Road","Clapham Road","","180-194 even","RG 12/410","19-20
"
"11","7","261","Stockwell Road","Clapham Road","","196-214 even","RG 12/410","17-19
"
"11","7","262","Stockwell Road","Clapham Road","","2-90 even","RG 12/405","123-126
"
"11","7","263","Stockwell Road","Clapham Road","","216-232 even","RG 12/410","17
"
"11","7","264","Stockwell Road","Clapham Road","","234-246 even","RG 12/407","93
"
"11","7","265","Stockwell Road","Clapham Road","","79-167 odd","RG 12/407","75-80
"
"11","7","266","Stockwell Road","Clapham Road","","92-178 even","RG 12/409","125-129
"
"11","7","267","Stockwell Road","Clapham Road","","British and Foreign Schools and Training College and or Women Teachers","RG 12/405","67
"
"11","7","268","Stockwell Road","Clapham Road","","Whites Cottages, Stockwell Road","RG 12/405","39
"
"11","7","269","Stones Buildings","Regent Street","","","RG 12/395","81-82
"
"11","7","270","Strathleven Road","Acre Lane","Being built","","RG 12/411","12-15
"
"11","7","271","Streatham","","see note in 1881 Index for Streatham Common LAMBETH DISTRICT","One house Lodge of Park Hill","RG 12/419","35
"
"11","7","272","Studley Road","Clapham Road","","Number, Studley Road, 1","RG 12/400","222
"
"11","7","273","Studley Road","Clapham Road","","even numbers","RG 12/400","222-225
"
"11","7","274","Studley Road","Clapham Road","","odd numbers","RG 12/401","4-6
"
"11","7","275","Sudbourne Road","Brixton Hill","","","RG 12/410","39-43
"
"11","7","276","Sun & Doves Yard","Coldharbour Lane","","","RG 12/415","33
"
