"13","4","1","James Buildings","Hutchison Street","","","RG 12/235","14
"
"13","4","113","Little Britain","Aldersgate Street","","34-57","RG 12/237","54-55
"
"13","4","114","Little Britain","Aldersgate Street","","66-76","RG 12/236","118
"
"13","4","115","Little Britain","Aldersgate Street","","Lodge, Little Britain","RG 12/236","122
"
"13","4","116","Little College Street","","","1-4","RG 12/239","160
"
"13","4","117","Little College Street","Upper Thames Street","","5½","RG 12/239","157
"
"13","4","118","Little George Street","Minories","","","RG 12/235","108-111
"
"13","4","119","Little Love Lane","Wood Street","See Love Lane","","",""
"13","4","120","Little Somerset Court","Somerset Street","","","RG 12/235","82
"
"13","4","121","Little Somerset Street","Mansell Street","","","RG 12/235","80-82
"
"13","4","122","Little Winchester Street","","see Great Winchester Street","","",""
"13","4","123","Little Winchester Street","","which should be with Nos 9-18 Great Winchester Street appears to be vacant or demolished","","",""
"13","4","124","Liverpool Street","","","Great Eastern Railway Station and Hotel, Liverpool Street","RG 12/235","173-175
"
"13","4","125","Liverpool Street","Bishopsgate Street Without","","Railway Tavern, Liverpool Street","RG 12/235","175-176
"
"13","4","126","Lombard Court","Gracechurch Street","","1-2","RG 12/240","126
"
"13","4","127","Lombard Court","Gracechurch Street","","3 and 7","RG 12/340","40
"
"13","4","128","Lombard Street","Fleet Street","","","RG 12/239","2
"
"13","4","129","Lombard Street","Gracechurch Street","","1-2","RG 12/240","8
"
"13","4","130","Lombard Street","Gracechurch Street","","10-15","RG 12/240","10
"
"13","4","131","Lombard Street","Gracechurch Street","","19-23","RG 12/240","16
"
"13","4","132","Lombard Street","Gracechurch Street","","24-38","RG 12/240","17
"
"13","4","133","Lombard Street","Gracechurch Street","","39-52","RG 12/240","19-20
"
"13","4","134","Lombard Street","Gracechurch Street","","53-62","RG 12/240","18-19
"
"13","4","135","Lombard Street","Gracechurch Street","","67-85","RG 12/240","10-11
"
"13","4","136","Lombard Street","Gracechurch Street","","PO and 3-5","RG 12/240","10
"
"13","4","137","London House Yard","St Pauls Churchyard","","No 8 only, Goose and Gridiron Public House, London House Yard","RG 12/239","51
"
"13","4","138","London House Yard","St Pauls Churchyard","","unoccupied, London House Yard, London House Yard","RG 12/239","39-40
"
"13","4","139","London Street","Fenchurch Street","","1-5","RG 12/240","111
"
"13","4","140","London Street","Fenchurch Street","","16","RG 12/240","111
"
"13","4","141","London Street","Fenchurch Street","","7-8","RG 12/240","113
"
"13","4","142","London Street","Fenchurch Street","","9-12","RG 12/240","99
"
"13","4","143","London Street","Fenchurch Street","others unoccupied","19-20","RG 12/240","111
"
"13","4","144","London Wall","","","123","RG 12/239","92
"
"13","4","145","London Wall","","","124-131","RG 12/236","34
"
"13","4","146","London Wall","","","132-138","RG 12/239","92
"
"13","4","147","London Wall","","","17-18","RG 12/239","94
"
"13","4","148","London Wall","","","20-30","RG 12/239","109, 99
"
"13","4","149","London Wall","","","31-48","RG 12/241","101-102
"
"13","4","150","London Wall","","","49-86","RG 12/241","9
"
"13","4","151","London Wall","","","87-122","RG 12/241","102-104
"
"13","4","152","London Wall","","","Blomfield House, London Wall","RG 12/235","176
"
"13","4","153","London Wall","","","1-16 unoccupied","RG 12/239","91-92
"
