"2","2","106","Caroline Place","Wyndham Road","","1-9","RG 12/462","45-46
"
"2","2","107","Caroline Street","Peckham","","1-2 Caroline Cottages , Caroline Street","RG 12/483","6-7
"
"2","2","108","Caroline Street","Peckham","","1-26","RG 12/483","6-9
"
"2","2","109","Caroline Street","Peckham","","1-3 Eliza Terrace, Caroline Street","RG 12/483","9
"
"2","2","110","Caroline Street","Peckham","","20, 22 Temperence Hall, Caroline Street","RG 12/483","8
"
"2","2","111","Caroline Street","Peckham","","4 The Triangle","RG 12/483","9
"
"2","2","112","Caroline Street","Peckham","","Willow Cottage, Caroline Street","RG 12/483","9
"
"2","2","113","Carpenters Place","","","1-4 Blue Anchor Lane","RG 12/479","108
"
"2","2","114","Caspian Street","","","2-32","RG 12/463","97-103
"
"2","2","115","Castle Square","Rosemary Road","","1-7","RG 12/474","69
"
"2","2","116","Castle Street","","","1-20","RG 12/463","13-15
"
"2","2","117","Castle Street","","","1-4, 1-7","RG 12/491","35
"
"2","2","118","Castlemans Road","","","1-31 odd","RG 12/489","58-60
"
"2","2","119","Castlemans Road","","","2-36 even","RG 12/489","60-63
"
"2","2","120","Castlemans Road","","","33","RG 12/489","44
"
"2","2","121","Cator Street","","","138-144 even","RG 12/488","133-134
"
"2","2","122","Cator Street","","","178-192 even","RG 12/488","132-133
"
"2","2","123","Cator Street","","","2-136 even","RG 12/489","117-126
"
"2","2","124","Cator Street","","","Rose Cottage and 194-242 even","RG 12/473","94-99
"
"2","2","125","Cator Street","","","l-189 odd","RG 12/489","101-113
"
"2","2","126","Cator Street","Peckham","","187-251odd","RG 12/473","127-129
"
"2","2","127","Caulfield Road","","","2-50 even","RG 12/475","76-79
"
"2","2","128","Caulfield Road","Peckham","","1-47 odd","RG 12/475","79-81
"
"2","2","129","Cedar Cottages","Halfmoon Lane","","1-2","RG 12/461","124
"
"2","2","130","Cerise Road","","","1-2 Warwick Villas, Cerise Road","RG 12/474","100
"
"2","2","131","Cerise Road","Peckham","","1-11","RG 12/474","100-101
"
"2","2","132","Chadwick Road","","","53","RG 12/468","21
"
"2","2","133","Chadwick Road","","","57-155 odd","RG 12/468","16-21
"
"2","2","134","Chadwick Road","","","Grove Park Cottage and Keepers Lodge, Chadwick Road","RG 12/468","21
"
"2","2","135","Chadwick Road","Peckham","","1-56","RG 12/473","47-52
"
"2","2","136","Champion Grove","","","1-26","RG 12/466","5-8
"
"2","2","137","Champion Grove","","","27-29 building, Champion Grove","RG 12/466","8
"
"2","2","138","Champion Hill","East Dulwich","","1-13","RG 12/466","4
"
"2","2","139","Champion Hill","East Dulwich","","Champion Lodge, Champion Hill","RG 12/466","32
"
"2","2","140","Champion Hill","East Dulwich","","Creslatton, Champion Hill","RG 12/461","90
"
"2","2","141","Champion Hill","East Dulwich","","Durlstone, Champion Hill","RG 12/466","32
"
"2","2","142","Champion Hill","East Dulwich","","Garden Lodge, Champion Hill","RG 12/461","90
"
"2","2","143","Champion Hill","East Dulwich","","Grove Vale","RG 12/469","5-12
"
"2","2","144","Champion Hill","East Dulwich","","Hill Lodge, Champion Hill","RG 12/461","90
"
"2","2","145","Champion Hill","East Dulwich","","Hillside, Champion Hill","RG 12/466","31
"
"2","2","146","Champion Hill","East Dulwich","","Kedesurt, Champion Hill","RG 12/466","32
"
"2","2","147","Champion Hill","East Dulwich","","Rydale Mount, Champion Hill","RG 12/461","90
"
"2","2","148","Champion Hill","East Dulwich","","Uplands, Champion Hill","RG 12/466","31-32
"
"2","2","149","Champion Hill","East Dulwich","Private Road","1-13","RG 12/466","4-5
"
"2","2","150","Champion Park","","","1-12 DeCrespigny Terrace, Champion Park","RG 12/466","9-10
"
"2","2","151","Champion Park","","","1-2 DeCrespigny Lodge, Champion Park","RG 12/466","10
"
"2","2","152","Champion Park","Denmark Hill","","1-9","RG 12/466","8-9
"
"2","2","153","Champion Terrace","","","1-13","RG 12/465","120-121
"
"2","2","154","Chapel House","Rye Lane","","59","RG 12/474","78
"
"2","2","155","Chaplains House","Dulwich High Street","","","RG 12/461","105
"
"2","2","156","Charlotte Street","","","2-32 even","RG 12/493","100-102
"
"2","2","157","Charlotte Street","Bermondsey","","1-29 odd","RG 12/493","102-104
"
"2","2","158","Chatham Road","","","22-24 even","RG 12/487","69-70
"
"2","2","159","Chatham Road","","","29-37 odd","RG 12/487","70
"
"2","2","160","Chelmsford Terrace","","","1-6","RG 12/471","98
"
"2","2","161","Chepstow Terrace","Peckham Road","","1-4","RG 12/473","124
"
"2","2","162","Chesterfield Grove","","","2-62 even","RG 12/469","83-86
"
"2","2","163","Chesterfield Grove","Lordship Lane","","1-51 odd","RG 12/469","86-88
"
"2","2","164","Chesterfield Grove","Underhill Road","","1-9","RG 12/472","35-36
"
"2","2","165","Chesterfield Terrace","","","","RG 12/464","29
"
"2","2","166","Chesterfield Terrace","Silvester Road","","2-8","RG 12/471","97
"
"2","2","167","Chiswell Street","","","20-25","RG 12/464","30-31
"
"2","2","168","Chiswell Street","","","26-52 even","RG 12/464","31-33
"
"2","2","169","Chiswell Street","","","7-19 odd","RG 12/464","29-30
"
"2","2","170","Chiswell Street","Hamptons Avenue","","1-10","RG 12/464","16-19
"
"2","2","171","Choumert Grove","Choumert Square","","1-46","RG 12/473","44-45
"
"2","2","172","Choumert Grove","Rye Lane","","1-4","RG 12/473","45-46
"
"2","2","173","Choumert Grove","Rye Lane","","47-67 odd","RG 12/473","80-81
"
"2","2","174","Choumert Grove","Rye Lane","","5-33 odd","RG 12/473","46-47
"
"2","2","175","Choumert Grove","Rye Lane","","6-38 even","RG 12/473","79-80
"
"2","2","176","Choumert Road","","","106-210 even","RG 12/468","26-30
"
"2","2","177","Choumert Road","","","2-98 even","RG 12/473","33-37
"
"2","2","178","Choumert Road","","","81-183 odd","RG 12/468","21-26
"
"2","2","179","Choumert Road","Peckham","","1-79 odd","RG 12/473","62-65
"
"2","2","180","Choumert Square","Choumert Grove","","1-46","RG 12/473","44-45
"
"2","2","181","Christiana Place","","","1-8 Victoria Road","RG 12/467","136
"
"2","2","182","Chumleigh Street","","1-11","Friendly Female Asylum, Chumleigh Street","RG 12/486","103-104
"
"2","2","183","Chumleigh Street","","","1-39 odd","RG 12/486","98-101
"
"2","2","184","Chumleigh Street","","","2-34 even","RG 12/486","101-103
"
"2","2","185","Chumleigh Street","","","36-42 even","RG 12/491","42
"
"2","2","186","Church Parsonage","Camberwell New Road","","","RG 12/462","55
"
"2","2","187","Church Street","","","1-12","RG 12/464","65-67
"
"2","2","188","Church Street","","","1-4 Bank Buildings, Church Street","RG 12/465","104
"
"2","2","189","Church Street","","","1-5","RG 12/465","103-104
"
"2","2","190","Church Street","","","30-86 even","RG 12/465","70-72
"
"2","2","191","Church Street","","","47-75 odd","RG 12/464","54-55
"
"2","2","192","Church Street","","","6-28 even","RG 12/465","103
"
"2","2","193","Church Street","","","Bank House & Stables, Church Street","RG 12/465","104
"
"2","2","194","Church Street","","","Datchelor Place, Church Street","RG 12/464","88-91
"
"2","2","195","Church Street","","","The Vicarage, Church Street","RG 12/464","55
"
"2","2","196","Church Street","","1-45 odd","","RG 12/464","48-50
"
"2","2","197","Church Street","Grove Lane","","1-55 odd","RG 12/465","112-114
"
"2","2","198","Church Street","Grove Lane","","2-72 even","RG 12/465","114-118
"
"2","2","199","Church Street","Grove Lane","","205-211 odd","RG 12/465","94-95
"
"2","2","200","Church Street","Grove Lane","","26 R","RG 12/465","141
"
"2","2","201","Church Street","Grove Lane","","57-203 odd","RG 12/466","18-24
"
"2","2","202","Church Street","Grove Lane","","74-128 even","RG 12/466","16-18
"
"2","2","203","Cicely Road","Peckham","","1-12","RG 12/474","101-102
"
"2","2","204","Claremont House","","","","RG 12/472","37
"
"2","2","205","Clarendon Arms Yard","","","Clarendon Cottage, Clarendon Arms Yard","RG 12/462","30
"
"2","2","206","Clarendon Arms Yard","Camberwell New Road","","","RG 12/462","30
"
"2","2","207","Clarendon Avenue","","","1-7","RG 12/462","46-47
"
"2","2","208","Clarendon Avenue","","","Clarendon Villa, Clarendon Avenue","RG 12/462","46
"
"2","2","209","Clarendon Place","","","1-19","RG 12/462","39-42
"
"2","2","210","Clarendon Place","","","1-3 Allens Cottages, Clarendon Place","RG 12/462","40
"
"2","2","211","Clarendon Street","","","1-16","RG 12/462","36-38
"
"2","2","212","Clarendon Street","","","1-4 Albert Terrace, Clarendon Street","RG 12/462","38
"
"2","2","213","Clarendon Street","","","1A-3A","RG 12/462","39
"
"2","2","214","Clarendon Street","","","29-36","RG 12/462","38-39
"
"2","2","215","Clarendon Street","","","Clarendon Cottage, Clarendon Street","RG 12/462","39
"
"2","2","216","Clarke Terrace","Lordship Lane","","1-8","RG 12/471","58-59
"
"2","2","217","Clarkstone Place","Peckham","","1-10, 21-27","RG 12/481","108-109
"
"2","2","218","Claude Road","Peckham","","1-9 odd","RG 12/476","91-92
"
"2","2","219","Claude Road","Peckham","","11-25 odd","RG 12/477","72-73
"
"2","2","220","Claude Road","Peckham","","2-18 even","RG 12/476","90-91
"
"2","2","221","Claude Road","Peckham","","20-50 even","RG 12/477","70-72
"
"2","2","222","Claude Road","Peckham","","27-37 odd","RG 12/477","105
"
"2","2","223","Clayton Nursery","","","","RG 12/474","111
"
"2","2","224","Clayton Road","","","3-99 odd","RG 12/474","83-88
"
"2","2","225","Clayton Road","","","44-78 even","RG 12/474","81-82
"
"2","2","226","Clayton Road","","","Mill Yard, Clayton Road","RG 12/474","87
"
"2","2","227","Clayton Road","Peckham","","2-42 even","RG 12/474","124-126
"
"2","2","228","Cleveland Cottage","","","","RG 12/462","47
"
"2","2","229","Cleveland Street","","","1-14","RG 12/462","34-36
"
"2","2","230","Cleveland Street","","","4A","RG 12/462","47
"
"2","2","231","Clifton Crescent","","","2-50 even","RG 12/482","20-23
"
"2","2","232","Clifton Crescent","","","52, 56","RG 12/482","17
"
"2","2","233","Clifton Crescent","","","56-128 even","RG 12/482","105-110
"
"2","2","234","Clifton Crescent","","","69-99 odd","RG 12/482","110-111
"
"2","2","235","Clifton Crescent","Asylum Road","","1-67 odd","RG 12/482","17-20
"
"2","2","236","Clifton Road","","","2-68 even","RG 12/481","109-112
"
"2","2","237","Clifton Road","Peckham","","1-51 odd","RG 12/482","6-9
"
"2","2","238","Clifton Square","","","1-7, 8,9 odd","RG 12/474","106
"
"2","2","239","Clifton Square","","","1-9 Nungate Cottages, Clifton Square","RG 12/474","107-108
"
"2","2","240","Clifton Square","","","Myrtle Cottages, Clifton Square","RG 12/474","108
"
"2","2","241","Clifton Square","Albert Road","","1-6, 11, 13","RG 12/474","106-107
"
"2","2","242","Cobden Street","","","1-20","RG 12/490","51-54
"
"2","2","243","Coburg Road","","","1-123 odd","RG 12/490","117-124
"
"2","2","244","Coburg Road","","","1-4 Coburg Villas, Coburg Road","RG 12/485","69
"
"2","2","245","Coburg Road","","","125-139 odd","RG 12/491","30-31
"
"2","2","246","Coburg Road","","","141-155 odd","RG 12/491","54-55
"
"2","2","247","Coburg Road","","","150-166 even","RG 12/491","52-54
"
"2","2","248","Coburg Road","","","157 Canal House, Coburg Road","RG 12/491","58
"
"2","2","249","Coburg Road","","","2-58 even","RG 12/485","69-72
"
"2","2","250","Coburg Road","","","60-148 even","RG 12/491","25-30
"
"2","2","251","Cock Yard","","","1-3","RG 12/465","109
"
"2","2","252","Colby Road","East Dulwich","","8-42","RG 12/461","51-54
"
"2","2","253","Coleman Road","Coleman Street","","2-82 even","RG 12/488","68-73
"
"2","2","254","Coleman Road","Peckham","","1-135 odd","RG 12/488","62-68
"
"2","2","255","College Gardens","College Road","","1-8","RG 12/461","97
"
"2","2","256","College Road","","","1-2 Bell Cottages, College Road","RG 12/461","96
"
"2","2","257","College Road","","","1-8 College Gardens, College Road","RG 12/461","97
"
"2","2","258","College Road","","","Arden, College Road","RG 12/461","28
"
"2","2","259","College Road","","","Ardwell, College Road","RG 12/461","25
"
"2","2","260","College Road","","","Athole House, College Road","RG 12/461","25
"
"2","2","261","College Road","","","Baldova, College Road","RG 12/461","25
"
"2","2","262","College Road","","","Baston Lodge, College Road","RG 12/461","24
"
"2","2","263","College Road","","","Bell House, College Road","RG 12/461","96
"
"2","2","264","College Road","","","Bentley Lodge, College Road","RG 12/461","25
"
"2","2","265","College Road","","","Brakespeare, College Road","RG 12/461","26
"
"2","2","266","College Road","","","Chesterfield, College Road","RG 12/461","24
"
"2","2","267","College Road","","","College Road Farm, College Road","RG 12/461","29
"
"2","2","268","College Road","","","Crowhurst, College Road","RG 12/461","25
"
"2","2","269","College Road","","","Dilkhoosh Lodge, College Road","RG 12/461","26
"
"2","2","270","College Road","","","Drinagh, College Road","RG 12/461","29
"
"2","2","271","College Road","","","Dulwich Wood Park","RG 12/461","20-24
"
"2","2","272","College Road","","","Dunedin, College Road","RG 12/461","25
"
"2","2","273","College Road","","","East Dulwich","RG 12/461","24-30, 96-98
"
"2","2","274","College Road","","","Ellerslie, College Road","RG 12/461","27
"
"2","2","275","College Road","","","Enfield House, College Road","RG 12/461","27-28
"
"2","2","276","College Road","","","Fairlawn, College Road","RG 12/461","29
"
"2","2","277","College Road","","","Gardeners Cottage, College Road","RG 12/461","97-98
"
"2","2","278","College Road","","","Gosforth, College Road","RG 12/461","28
"
"2","2","279","College Road","","","Grove House, College Road","RG 12/461","96
"
"2","2","280","College Road","","","Ingleborough, College Road","RG 12/461","26
"
"2","2","281","College Road","","","Kaietem, College Road","RG 12/461","26
"
"2","2","282","College Road","","","Kuffana, College Road","RG 12/461","26
"
"2","2","283","College Road","","","Lowood, College Road","RG 12/461","24
"
"2","2","284","College Road","","","Melrose, College Road","RG 12/461","28
"
"2","2","285","College Road","","","Moira House, College Road","RG 12/461","28
"
"2","2","286","College Road","","","Monclova, College Road","RG 12/461","25
"
"2","2","287","College Road","","","Oak Cottage, College Road","RG 12/461","29
"
"2","2","288","College Road","","","Oakfield, College Road","RG 12/461","27
"
"2","2","289","College Road","","","Oakfield Gardens, College Road","RG 12/461","98
"
"2","2","290","College Road","","","Oakfield Lodge, College Road","RG 12/461","27
"
"2","2","291","College Road","","","Pandura, College Road","RG 12/461","25
"
"2","2","292","College Road","","","Pond Cottages, College Road","RG 12/461","29-30
"
"2","2","293","College Road","","","Ravenshoe, College Road","RG 12/461","24
"
"2","2","294","College Road","","","Redholme, College Road","RG 12/461","26
"
"2","2","295","College Road","","","Rocklands, College Road","RG 12/461","24
"
"2","2","296","College Road","","","St Stephens Vicarage, College Road","RG 12/461","26
"
"2","2","297","College Road","","","Stella House, College Road","RG 12/461","96
"
"2","2","298","College Road","","","Sydenham House, College Road","RG 12/461","96
"
"2","2","299","College Road","","","Sydenham Villa, College Road","RG 12/461","96
"
"2","2","300","College Road","","","The Grange, College Road","RG 12/461","29
"
"2","2","301","College Road","","","The Highlands, College Road","RG 12/461","24
"
"2","2","302","College Road","","","Thornbra, College Road","RG 12/461","29
"
"2","2","303","College Road","","","Toll Gate","RG 12/461","28-29
"
"2","2","304","College Road","","","Trewen, College Road","RG 12/461","96-97
"
"2","2","305","College Road","","","Unsworth, College Road","RG 12/461","27
"
"2","2","306","College Road","","","Waterworks Lodge, College Road","RG 12/461","26
"
"2","2","307","College Road","","","Wensley House, College Road","RG 12/461","96
"
"2","2","308","College Road","","","West Park Lodge, College Road","RG 12/461","96
"
"2","2","309","College Road","","","Woodhall and Lodge, College Road","RG 12/461","26-27
"
"2","2","310","College Road","","Wych Elm","Wynch Elm","RG 12/461","28
"
"2","2","311","Colls Road","Peckham","","1-42","RG 12/477","47-52
"
"2","2","312","Collyer Place","Peckham","","2-6","RG 12/473","6
"
"2","2","313","Colville Villa","","","","RG 12/472","57-58
"
"2","2","314","Colwell Road","","","1-43 odd","RG 12/469","63-65
"
"2","2","315","Colwell Road","","","17 Mission House, Colwell Road","RG 12/469","64
"
"2","2","316","Colwell Road","","","2-42 even","RG 12/469","65-67
"
"2","2","317","Commerce Way","Dulwich High Street","","1-8","RG 12/461","71
"
"2","2","318","Commercial Road","Camden Grove North","","1-149 odd","RG 12/490","16-26
"
"2","2","319","Commercial Road","Camden Grove North","","140-172 even","RG 12/488","120-122
"
"2","2","320","Commercial Road","Camden Grove North","","151-185 odd","RG 12/488","122-125
"
"2","2","321","Commercial Road","Camden Grove North","","2-138 even","RG 12/490","6-16
"
"2","2","322","Commercial Road","East Surrey Grove","","1-137 odd","RG 12/489","127-136
"
"2","2","323","Commercial Road","East Surrey Grove","","2-142 even","RG 12/489","136-145
"
"2","2","324","Commercial Road","Elcot Avenue","","1-19 odd","RG 12/481","59-60
"
"2","2","325","Commercial Road","Elcot Avenue","","2-18 even","RG 12/481","60-61
"
"2","2","326","Commercial Road","Elcot Avenue","","33-51 odd","RG 12/481","62-64
"
"2","2","327","Commercial Road","Eton Cottages","","1-2","RG 12/473","89-90
"
"2","2","328","Commercial Road","Hesse Terrace","","1-6","RG 12/488","111-112
"
"2","2","329","Commercial Road","Hope Wharf","","","RG 12/480","84
"
"2","2","330","Commercial Road","James Grove","","1-25","RG 12/488","125-128
"
"2","2","331","Commercial Road","James Grove","","11A","RG 12/488","129
"
"2","2","332","Commercial Road","James Grove","","12A,14A","RG 12/488","128
"
"2","2","333","Commercial Road","James Grove","","41-48","RG 12/488","128-129
"
"2","2","334","Commercial Road","Nelson Square","","1-15","RG 12/480","56-58
"
"2","2","335","Commercial Road","Nelson Square","","1-4, 16-25","RG 12/480","58-60
"
"2","2","336","Commercial Road","Peckham","","1-71 odd","RG 12/488","129-132
"
"2","2","337","Commercial Road","Peckham","","101-137 odd","RG 12/474","48-50
"
"2","2","338","Commercial Road","Peckham","","104-132 even","RG 12/474","11-12
"
"2","2","339","Commercial Road","Peckham","","134-140 even","RG 12/479","114-115
"
"2","2","340","Commercial Road","Peckham","","139-143 odd","RG 12/480","84
"
"2","2","341","Commercial Road","Peckham","","144-230 even","RG 12/480","71-76
"
"2","2","342","Commercial Road","Peckham","","145-213 odd","RG 12/481","4-7
"
"2","2","343","Commercial Road","Peckham","","215-299 odd","RG 12/484","70-75
"
"2","2","344","Commercial Road","Peckham","","232-276 even","RG 12/481","34-36
"
"2","2","345","Commercial Road","Peckham","","242","RG 12/481","72
"
"2","2","346","Commercial Road","Peckham","","278-336 even","RG 12/482","100-103
"
"2","2","347","Commercial Road","Peckham","","4-72","RG 12/473","90-94
"
"2","2","348","Commercial Road","Peckham","","73-75 odd","RG 12/489","113
"
"2","2","349","Commercial Road","Peckham","","74-102 even","RG 12/473","129-131
"
"2","2","350","Commercial Road","Peckham","","77-90 odd","RG 12/473","116-117
"
"2","2","351","Conservative Club","Oakley Place","","","RG 12/490","125
"
"2","2","352","Constance Road","","","1-3 Constance Cottages, Constance Road","RG 12/469","9
"
"2","2","353","Constance Road","","","1-47","RG 12/469","5-9
"
"2","2","354","Constance Road","","","Field Cottage, Constance Road","RG 12/469","7
"
"2","2","355","Coopers Road","Bermondsey","","1-57 odd","RG 12/493","77-80
"
"2","2","356","Coopers Road","Bermondsey","","2-52 even","RG 12/493","80-83
"
"2","2","357","Copeland Avenue","","","2-8 even","RG 12/476","106
"
"2","2","358","Copeland Avenue","","","2-8 even","RG 12/476","106
"
"2","2","359","Copeland Avenue","Copeland Road","","1-19 odd","RG 12/476","105-106
"
"2","2","360","Copeland Avenue","Woodbine Terrace","","","RG 12/476","80-81
"
