"11","4","199","Larkhall Lane","Lansdowne Road","","33-85 odd","RG 12/401","8-11
"
"11","4","200","Larkhall Lane","Lansdowne Road","","87-97 odd","RG 12/402","10
"
"11","4","201","Larkhall Lane","Lansdowne Road","","98-106 even","RG 12/402","9
"
"11","4","202","Larkhall Lane","Lansdowne Road","","Surrey Lodge, Larkhall Lane","RG 12/401","8
"
"11","4","203","Larkhall Lane","Lansdowne Road","Continued in WANDSWORTH District","","",""
"11","4","204","Lawn Lane","South Lambeth Road","","","RG 12/399","137
"
"11","4","205","Lawrence Place","part Elliott Road","","","RG 12/404","19
"
"11","4","206","Layham Cottages","Dorset Road","","1-4","RG 12/400","40-41
"
"11","4","207","Layham Cottages","Dorset Road","","5","RG 12/400","65
"
"11","4","208","Le Grand Place","","see Cornwall Mews","","",""
"11","4","209","Le Grand Place","Waterloo Road","or Cornwall Mews","","RG 12/388","99-101
"
"11","4","210","Leeson Road","Mayall Road","","","RG 12/413","46
"
"11","4","211","Leigham Lane","Norwood Road","","","RG 12/417","49-51
"
"11","4","212","Lemon Court","Albert Embankment","Little Lemon Court demolished","","RG 12/392","118
"
"11","4","213","Lemon Place","Albert Embankment","","","RG 12/392","118-119
"
"11","4","214","Leopold Street","Vauxhall Walk","","","RG 12/397","108-112
"
"11","4","215","Leppine Cottages","Gipsy Road","","","RG 12/419","48-49
"
"11","4","216","Letts Cottages","Half Moon Lane","","","RG 12/415","69
"
"11","4","217","Lewis Road","Coldharbour Lane","","","RG 12/415","17-20
"
"11","4","218","Lilford Road","Coldharbour Lane","","2-48 even","RG 12/406","155-157
"
"11","4","219","Lilford Road","Coldharbour Lane","","33-57 odd","RG 12/406","60-62
"
"11","4","220","Lilford Road","Coldharbour Lane","takes in Harold Street in 1902","1-31 odd","RG 12/406","134-135
"
"11","4","221","Lindum Villas","Manley Place,","later part St Agnes Place","","RG 12/403","25
"
"11","4","222","Lingham Street","Clapham Road","","","RG 12/405","150-161
"
"11","4","223","Linom Road","Kepler Road","","","RG 12/408","81-84
"
"11","4","224","Linton Grove","Elder Road","","","RG 12/418","150-152
"
"11","4","225","Linton Terrace","part Elder Road","","","RG 12/418","150
"
"11","4","226","Listowel Street","Bishops Road","","","RG 12/404","36-38
"
"11","4","227","Little Canterbury Place","","","24A-35A","RG 12/391","74-75
"
"11","4","228","Little Canterbury Place","","","35","RG 12/391","81
"
"11","4","229","Little Canterbury Place","","","36A-38","RG 12/391","75
"
"11","4","230","Little Canterbury Place","","part of Canterbury Place in 1910","1-4","RG 12/391","74
"
"11","4","231","Little Clayton Street","Clayton Street","","","RG 12/398","155
"
"11","4","232","Little Duke Street","Duke Street","","","RG 12/387","104
"
"11","4","233","Little Lemon Court","Albert Embankment","(demolished)","","RG 12/392","118
"
"11","4","234","Little Moore Place","Brook Street","may be missing before f 1","","RG 12/391","
"
"11","4","235","Little Paris Street","Lambeth Palace Road","","","RG 12/391","134-142
"
"11","4","236","Little Paris Street","Lambeth Palace Road","& Paris Street","","RG 12/391","134-142
"
"11","4","237","Little Park Place","Carlisle Street","","","RG 12/391","124
"
"11","4","238","Little Park Place","Carlisle Street","","","RG 12/391","124
"
"11","4","239","Little Rutland Street","Wilcox Road","","","RG 12/400","182
"
"11","4","240","Little Spring Place","Wilcox Road","","","RG 12/401","84-85
"
"11","4","241","Little Thomas Street","Whiting Street","called Linnett Street in 1910","","RG 12/390","60-63
"
"11","4","242","Little William Street","William Street","","","RG 12/398","178-179
"
"11","4","243","Little Windmill Street","Windmill Street","","22-28 only","RG 12/388","27
"
"11","4","244","Long Gardens or Cumberland Place","","","","RG 12/414","43-44
"
"11","4","245","Lorn Road","Brixton Road","No 1 is on fs 104 & 108","","RG 12/404","104-108
"
"11","4","246","Lorne Villas","part Priory Road","","","RG 12/401","154-155
"
"11","4","247","Lothian Road","Camberwell New Road","","94-116 even","RG 12/405","21-22
"
"11","4","248","Lothian Road","Camberwell New Road","Remainder in CAMBERWELL District","","",""
"11","4","249","Loughborough Hall","Coldharbour Lane","","","RG 12/406","108
"
"11","4","250","Loughborough Mansions","Coldharbour Lane","","","RG 12/416","114
"
"11","4","251","Loughborough Park","Coldharbour Lane","","even numbers","RG 12/414","87-93
"
"11","4","252","Loughborough Park","Coldharbour Lane","","odd numbers","RG 12/414","114-119
"
"11","4","253","Loughborough Park Buildings","Cambria Road","","","RG 12/416","12-13
"
"11","4","254","Loughborough Road","Brixton Road","","1-69 odd","RG 12/405","104-107
"
"11","4","255","Loughborough Road","Brixton Road","","174-186 even","RG 12/416","126
"
"11","4","256","Loughborough Road","Brixton Road","","2-78 even","RG 12/416","54-57
"
"11","4","257","Loughborough Road","Brixton Road","","71 odd","RG 12/406","103
"
"11","4","258","Loughborough Road","Brixton Road","","73 odd","RG 12/406","103, 120
"
"11","4","259","Loughborough Road","Brixton Road","","75-195 odd","RG 12/406","103-108
"
"11","4","260","Loughborough Road","Brixton Road","","80-172 even","RG 12/416","81-84
"
"11","4","261","Loughborough Road","Brixton Road","","Loughborough College, Loughborough Road","RG 12/406","120
"
"11","4","262","Loughborough Road","Brixton Road","","Loughborough Hall, Loughborough Road","RG 12/406","108
"
"11","4","263","Loughborough Street","Upper Kennington Lane","","","RG 12/396","122-126
"
"11","4","264","Love Lane","Stockwell Road","","","RG 12/405","45-48
"
"11","4","265","Lowden Road","Milkwood Road","now part Heron Road","","RG 12/415","129-139
"
"11","4","266","Lower Kennington Lane","","","1-39 odd","RG 12/398","11-13
"
"11","4","267","Lower Kennington Lane","","","107-147 odd","RG 12/398","32-35
"
"11","4","268","Lower Kennington Lane","","","130-164 even","RG 12/393","129-131
"
"11","4","269","Lower Kennington Lane","","","149-185 odd","RG 12/398","62-64
"
"11","4","270","Lower Kennington Lane","","","2-128 even","RG 12/393","147-156
"
"11","4","271","Lower Kennington Lane","","","39A","RG 12/398","24
"
"11","4","272","Lower Kennington Lane","","","41-105 odd","RG 12/398","13-16
"
"11","4","273","Lower Kennington Lane","","","Police Station, Lower Kennington Lane","RG 12/393","149
"
