"26","4","138","Kingsley Street","Grayshott Street, Battersea","","1-67 odd","RG 12/427","147-150
"
"26","4","139","Kingsley Street","Grayshott Street, Battersea","continuation of Loats Road","2-62 even","RG 12/427","150-153
"
"26","4","140","Kingston Road","Putney Heath","","Baldface Stag","RG 12/453","163
"
"26","4","141","Kingston Road","Putney Heath","","Cemetery Lodge, Kingston Road","RG 12/453","163
"
"26","4","142","Kingston Road","Putney Heath","","Eaglehurst, Kingston Road","RG 12/446","109
"
"26","4","143","Kingston Road","Putney Heath","","Fernbank, Kingston Road","RG 12/453","162
"
"26","4","144","Kingston Road","Putney Heath","","Kings Farm Lodge, Kingston Road","RG 12/453","162
"
"26","4","145","Kingston Road","Putney Heath","","Marne Lodge, Kingston Road","RG 12/453","163
"
"26","4","146","Kingston Road","Putney Heath","","Middleton House, Kingston Road","RG 12/453","162
"
"26","4","147","Kingston Road","Putney Heath","","Newlands, Kingston Road","RG 12/453","163
"
"26","4","148","Kingston Road","Putney Heath","","Park Villa, Kingston Road","RG 12/453","163
"
"26","4","149","Kingston Road","Putney Heath","","Roehampton, Kingston Road","RG 12/453","162-163
"
"26","4","150","Kingston Road","Putney Heath","","Roehampton Cottage, Kingston Road","RG 12/453","162
"
"26","4","151","Kingston Road","Putney Heath","","Roehampton Villa, Kingston Road","RG 12/453","162-163
"
"26","4","152","Kingston Road","Putney Heath","","Sherwood, Kingston Road","RG 12/453","163
"
"26","4","153","Kingston Road","Putney Heath","","Terrace House, Kingston Road","RG 12/453","163
"
"26","4","154","Kingston Road","Putney Heath","","The Rosary, Kingston Road","RG 12/453","163
"
"26","4","155","Kingston Road","Putney Heath","","Tregew, Kingston Road","RG 12/453","162
"
"26","4","156","Kingston Road","Putney Heath","","Vale Cottage, Kingston Road","RG 12/453","163
"
"26","4","157","Kingston Road","Putney Heath","","Vine Cottage, Kingston Road","RG 12/453","163
"
"26","4","158","Kingston Road","Putney Heath","West part later called Portsmouth Road","Alton Lodge, Kingston Road","RG 12/453","162
"
"26","4","159","Kingston Road","West Hill","","55-61 odd","RG 12/446","109
"
"26","4","160","Kingston Road","West Hill","","71, 75, 79","RG 12/446","110
"
"26","4","161","Kingston Road","West Hill","","93","RG 12/446","111
"
"26","4","162","Kingston Road","West Hill","","97","RG 12/446","112
"
"26","4","163","Kingswood Road","Thornbury Road, Clapham","","1-49 odd","RG 12/444","5-7
"
"26","4","164","Kingswood Road","Thornbury Road, Clapham","","2-40 even","RG 12/444","7-9
"
"26","4","165","Kingswood Road","Thornbury Road, Clapham","","Essendene, Kingswood Road, 21","RG 12/444","6
"
"26","4","166","Kingswood Road","Thornbury Road, Clapham","","Les Entiels 23","RG 12/444","6
"
"26","4","167","Kingswood Road","Thornbury Road, Clapham","","Poplar Lodge, Kingswood Road, 7","RG 12/444","5
"
"26","4","168","Kingswood Road","Thornbury Road, Clapham","","St Katherines 19","RG 12/444","6
"
"26","4","169","Kingswood Road","Thornbury Road, Clapham","","Tambrook, Kingswood Road","RG 12/444","7
"
"26","4","170","Kingswood Road","Thornbury Road, Clapham","","Woodlands, Kingswood Road, 25","RG 12/444","6
"
"26","4","171","Kirkstall Road","Telford Avenue Streatham","","2-30 even","RG 12/458","103-104
"
"26","4","172","Kirkstall Road","Telford Avenue Streatham","Rest not yet built","1-41, 67-81 odd","RG 12/458","100-103
"
"26","4","173","Klea Avenue","Cavendish Road, Clapham","","1-4","RG 12/444","90
"
"26","4","174","Klea Avenue","Cavendish Road, Clapham","","Carlton House, Klea Avenue","RG 12/444","90
"
"26","4","175","Klea Avenue","Cavendish Road, Clapham","","Lime Villa, Klea Avenue","RG 12/444","90
"
"26","4","176","Klea Avenue","Cavendish Road, Clapham","","Malta, Klea Avenue","RG 12/444","90
"
"26","4","177","Knights Cottages","Penwith Street","","1-4","RG 12/449","16-17
"
"26","4","178","Knoll Road","Herndon Road","","1-21 odd","RG 12/450","106-107
"
"26","4","179","Knoll Road","Herndon Road","","2-42 even","RG 12/450","105-106
"
"26","4","180","Knollys Road","York Road, Streatham","","1","RG 12/458","60-61
"
"26","4","181","Knollys Road","York Road, Streatham","","Elencasirin, Knollys Road","RG 12/458","61
"
"26","4","182","Knollys Road","York Road, Streatham","","Hillbank, Knollys Road","RG 12/458","60
"
"26","4","183","Knollys Road","York Road, Streatham","","Kilkeney, Knollys Road","RG 12/458","61
"
"26","4","184","Knollys Road","York Road, Streatham","","Knollys Croft, Knollys Road","RG 12/458","60
"
"26","4","185","Knollys Road","York Road, Streatham","","Selwin House, Knollys Road","RG 12/458","61
"
"26","4","186","Knollys Road","York Road, Streatham","","Thurlow Towers, Knollys Road","RG 12/458","60
"
"26","4","187","Knollys Road","York Road, Streatham","","Viewlands, Knollys Road","RG 12/458","60
"
"26","4","188","Knollys Road","York Road, Streatham","Rest in Brixton LAMBETH District","","RG 12/417","46-48
"
"26","4","189","Knowle House","Surrey Lane","","","RG 12/429","102
"
"26","4","190","Knowsley Cottage","","","","RG 12/421","24
"
"26","4","191","Knowsley Road","Latchmere Road, Battersea","","1-37 odd","RG 12/421","24-26
"
"26","4","192","Knowsley Road","Latchmere Road, Battersea","","2-100 even","RG 12/421","17-24
"
"26","4","193","Knox Road","Lavender Road, Battersea","","1-23 odd","RG 12/433","139-140
"
"26","4","194","Knox Road","Lavender Road, Battersea","","2-34 even","RG 12/433","140-142
"
"26","4","195","Knutsford Street","Stewarts Road, Clapham","","1-14","RG 12/441","52-54
"
"26","4","196","Kyrle Road","Broomwood Road, Battersea","","Greens Lodge, Kyrle Road","RG 12/438","112
"
"26","4","197","Kyrle Road","Broomwood Road, Battersea","Rest not yet built","1-25 odd","RG 12/438","111-112
"
"26","4","198","Labourers Cottages","Putney Lower Common","","1-21","RG 12/452","178-181
"
"26","4","199","Laburnum Villas","Brightwell Crescent","","1-2","RG 12/460","33
"
"26","4","200","Laitwood Road","Balham High Road, Streatham","","1-7","RG 12/455","61
"
"26","4","201","Laitwood Road","Balham High Road, Streatham","","Laitwood Terrace, Laitwood Road, 1-13","RG 12/455","61-63
"
"26","4","202","Lake Farm","Wimbledon Park Road","","","RG 12/446","125
"
"26","4","203","Lambourn Road","Wandsworth Road, Clapham","","1-29 odd","RG 12/440","63-65
"
"26","4","204","Lambourn Road","Wandsworth Road, Clapham","","2-40 even","RG 12/440","65-67
"
"26","4","205","Lammermoor Road","Kenilford Road, Streatham","","1-11","RG 12/456","12-13
"
"26","4","206","Lammermoor Road","Kenilford Road, Streatham","","Rose Cottages, Lammermoor Road, 1-3","RG 12/456","11-12
"
"26","4","207","Lancaster Road","","","2-44 even","RG 12/417","105-107
"
"26","4","208","Lancaster Road","","","51-55 odd","RG 12/459","60
"
"26","4","209","Lancaster Road","Worwood Road, Lambeth","","1-47 odd","RG 12/417","103-105
"
"26","4","210","Lancaster Road","Worwood Road, Streatham","","49","RG 12/459","76
"
"26","4","211","Landseer Street","Battersea Park Road","","1-45 odd","RG 12/422","94-98
"
"26","4","212","Landseer Street","Battersea Park Road","","2-58 even","RG 12/422","98-102
"
"26","4","213","Landseer Terrace","Landseer Street, Battersea","","1-13 odd","RG 12/422","102-103
"
"26","4","214","Landseer Terrace","Landseer Street, Battersea","","2-10 even","RG 12/422","103-104
"
"26","4","215","Landseer Terrace","Landseer Street, Battersea","","Ebenezer Cottage, Landseer Terrace","RG 12/422","103
"
"26","4","216","Lanes Cottages","Streatham High Road","","1-3","RG 12/458","36
"
"26","4","217","Langroyd Road","Glenburnie Road, Streatham","","1-21","RG 12/454","71-74
"
"26","4","218","Langroyd Road","Glenburnie Road, Streatham","","Ramleigh Villas, Langroyd Road, 1-2","RG 12/454","74
"
"26","4","219","Langroyd Road","Glenburnie Road, Streatham","","Worcester Lodge, Langroyd Road","RG 12/454","74
"
"26","4","220","Larch Road","Bedford Hill Road, Streatham","","1, 5,6","RG 12/455","42
"
"26","4","221","Larch Road","Bedford Hill Road, Streatham","","1-30","RG 12/455","35-40
"
"26","4","222","Larch Road","Bedford Hill Road, Streatham","","13A,1B-13B","RG 12/455","34-35
"
"26","4","223","Larch Road","Bedford Hill Road, Streatham","","1A,1B","RG 12/455","40-41
"
"26","4","224","Larch Road","Bedford Hill Road, Streatham","","Larch House, Larch Road","RG 12/455","42
"
"26","4","225","Larch Road","Bedford Hill Road, Streatham","","Sherwood Terrace, Larch Road, 1-6","RG 12/455","41-42
"
"26","4","226","Larkhall Lane","Courland Grove","","1-53 odd","RG 12/441","120-122
"
"26","4","227","Larkhall Lane","Courland Grove","","2-58 even","RG 12/441","122-126
"
"26","4","228","Larkhall Lane","Lambeth","","1-29 odd","RG 12/400","225-226
"
"26","4","229","Larkhall Lane","Lambeth","","2-98 even","RG 12/400","226-232
"
"26","4","230","Larkhall Lane","Lambeth","","33-85 odd","RG 12/401","8-11
"
"26","4","231","Larkhall Lane","Lambeth","","87-97 odd","RG 12/402","10
"
"26","4","232","Larkhall Lane","Lambeth","","98-108 even","RG 12/402","9
"
"26","4","233","Larkhall Lane","Lambeth","","Surrey Lodge, Larkhall Lane","RG 12/401","8
"
"26","4","234","Larkhall Lane","Lansdowne Road","","108-186 even","RG 12/441","155-158
"
"26","4","235","Larkhall Lane","Lansdowne Road","","99-153 odd","RG 12/441","158-160
"
"26","4","236","Larkhall Rise","Clapham","","1-81 odd","RG 12/441","135-139
"
"26","4","237","Larkhall Rise","Clapham","","16, 2-28 even","RG 12/441","23-25
"
"26","4","238","Larkhall Rise","Clapham","","2-52 even","RG 12/441","133-135
"
"26","4","239","Larkhall Rise","Clapham","","27-37 odd","RG 12/442","84
"
"26","4","240","Larkhall Rise","Clapham","","30-54 even","RG 12/442","68
"
"26","4","241","Larkhall Rise","Clapham","","32-38 even","RG 12/442","64-65
"
"26","4","242","Larkhall Rise","Clapham","","Lindens, Larkhall Rise","RG 12/441","15-16
"
"26","4","243","Larkhall Rise","Clapham","","Rectory Grove 1-39 odd","RG 12/442","70-71
"
"26","4","244","Larkhall Rise","Clapham","","The Limes, Larkhall Rise","RG 12/441","25
"
"26","4","245","Larkhall Rise","Clapham","No other numbers","83-101 odd","RG 12/442","69
"
"26","4","246","Latchmere Grove","Cabul Road","","1-124","RG 12/433","15-29
"
"26","4","247","Latchmere Lane","Sheepcote Lane","now part of Cabul Road","","",""
"26","4","248","Latchmere Road","Lavender Hill, Battersea","","1-31, 57-111 odd","RG 12/421","5-11
"
"26","4","249","Latchmere Road","Lavender Hill, Battersea","","115-155 odd","RG 12/428","12-13
"
"26","4","250","Latchmere Road","Lavender Hill, Battersea","","2-92 even","RG 12/431","88-93
"
"26","4","251","Latchmere Road","Lavender Hill, Battersea","","94-130 even","RG 12/433","86-88
"
"26","4","252","Latchmere Road","Lavender Hill, Battersea","","North and South Lodges, Latchmere Road","RG 12/431","90
"
"26","4","253","Latchmere Road","Lavender Hill, Battersea","","Public Baths, Latchmere Road","RG 12/421","8
"
"26","4","254","Latchmere Street","Battersea Park Road","","1-31 odd","RG 12/420","129-131
"
"26","4","255","Latchmere Street","Battersea Park Road","","2-32 even","RG 12/420","131-133
"
"26","4","256","Latchmere Street","Battersea Park Road","","Benwick Villa, Latchmere Street","RG 12/420","129
"
"26","4","257","Laurel Cottages","Bendon Valley","","","RG 12/448","132
"
"26","4","258","Laurel Cottages","Garratt Lane","","","RG 12/448","135
"
"26","4","259","Laurel Cottages","South Street","","1-4","RG 12/448","101
"
"26","4","260","Laurel Cottages","Tooting High Road","","","RG 12/454","82
"
"26","4","261","Laurel Villas","Burntwood Lane","","","RG 12/449","62
"
"26","4","262","Laurel Villas","Ponsonby Road","","1-2","RG 12/453","159
"
"26","4","263","Lavender Gardens","Lavender Hill, Battersea","","1-49 odd","RG 12/439","59-62
"
"26","4","264","Lavender Gardens","Lavender Hill, Battersea","","2-32 even","RG 12/439","62-64
"
"26","4","265","Lavender Hill","Battersea","","115-155 odd","RG 12/428","12-13
"
"26","4","266","Lavender Hill","Battersea","","15-149 odd","RG 12/439","23-29
"
"26","4","267","Lavender Hill","Battersea","","151-175 odd building, Lavender Hill","RG 12/439","29
"
"26","4","268","Lavender Hill","Battersea","","16-54 even","RG 12/425","67-68
"
"26","4","269","Lavender Hill","Battersea","","177-195 odd","RG 12/439","29-30
"
"26","4","270","Lavender Hill","Battersea","","182-190 even","RG 12/433","85
"
"26","4","271","Lavender Hill","Battersea","","197-223 odd building, Lavender Hill","RG 12/439","30
"
"26","4","272","Lavender Hill","Battersea","","225-265 odd","RG 12/439","30-32
"
"26","4","273","Lavender Hill","Battersea","","273-325 odd","RG 12/436","125-127
"
"26","4","274","Lavender Hill","Battersea","","56-66 even","RG 12/428","24
"
"26","4","275","Lavender Hill","Battersea","","68-174 even","RG 12/428","5-12
"
"26","4","276","Lavender Hill","Clapham","","1-13 odd","RG 12/440","90
"
"26","4","277","Lavender Hill","Clapham","","2-14 even","RG 12/440","108
"
"26","4","278","Lavender Hill","Clapham","","Commercial Buildings, Lavender Hill, 1-12","RG 12/433","85-86
"
"26","4","279","Lavender Hill","Clapham","","Craven Mews 2, 5","RG 12/439","26
"
"26","4","280","Lavender Hill","Clapham","","North Western Lodge, Lavender Hill","RG 12/433","85
"
"26","4","281","Lavender Hill","Clapham","","Queens Parade - called Shakespeares Parade in 19116-32","RG 12/433","83-85
"
"26","4","282","Lavender Hill","Clapham","","Vogel House, Lavender Hill","RG 12/433","85
"
"26","4","283","Lavender Road","York Street, Battersea","","1-181 odd","RG 12/433","142-152
"
"26","4","284","Lavender Road","York Street, Battersea","","106-172 even","RG 12/433","152-155
"
"26","4","285","Lavender Road","York Street, Battersea","","2-104 even","RG 12/432","8-13
"
"26","4","286","Lavender Road","York Street, Battersea","","Black Swan and 174","RG 12/433","108
"
"26","4","287","Lavender Sweep","Battersea Rise","","1-143 odd","RG 12/439","45-51
"
"26","4","288","Lavender Sweep","Battersea Rise","","2-32, 54-84 even","RG 12/436","127-131
"
"26","4","289","Lavender Sweep","Battersea Rise","","Lavender Lodge, Lavender Sweep, 32","RG 12/436","129
"
"26","4","290","Lavender Terrace","Falcon Road, Battersea","","8-18 even","RG 12/433","65-66
"
"26","4","291","Lavender Terrace","Falcon Road, Battersea","2-6 even do not exist","1-55 odd","RG 12/433","63-65
"
"26","4","292","Lawn Terrace","East Hill","","1-8","RG 12/450","72-73
"
"26","4","293","Lawtons Cottages","Streatham High Road","","1-4","RG 12/458","36
"
"26","4","294","Leathwaite Road","Battersea Rise","","1-189 odd","RG 12/438","4-12
"
"26","4","295","Leathwaite Road","Battersea Rise","","2-156 even","RG 12/438","12-20
"
"26","4","296","Lebanon Gardens","Merton Road","","1-31 odd","RG 12/445","137-138
"
"26","4","297","Lebanon Gardens","Merton Road","","2-78 even","RG 12/445","138-141
"
"26","4","298","Lebanon Terrace","Merton Road","","1-55","RG 12/445","137
"
"26","4","299","Leicester Cottages","Allfarthing Lane","","1-2","RG 12/450","55-57
"
"26","4","300","Leicester Place","Salvador","","1-6","RG 12/460","49
"
"26","4","301","Leigham Avenue","Streatham High Road","","1","RG 12/458","58-59
"
"26","4","302","Leigham Avenue","Streatham High Road","","Ewyafain, Leigham Avenue","RG 12/458","59
"
"26","4","303","Leigham Avenue","Streatham High Road","","Holmesdale, Leigham Avenue","RG 12/458","58
"
"26","4","304","Leigham Avenue","Streatham High Road","","Laveside, Leigham Avenue","RG 12/458","58
"
"26","4","305","Leigham Avenue","Streatham High Road","","Leigh Holme","RG 12/458","59
"
