"12","8","1","Union Place","Church Street","","1-11","RG 12/518","47
"
"12","8","108","Watlington Grove","Sydenham Road","","1-33","RG 12/523","138-143
"
"12","8","109","Watlington Grove","Watlington Cottages","","1-4","RG 12/523","140
"
"12","8","110","Weardale Road","Lee","","1-21","RG 12/518","91-93
"
"12","8","111","Weigall Road","","","Brook Villa, Weigall Road","RG 12/516","82
"
"12","8","112","Weigall Road","","","Chelsfield, Weigall Road","RG 12/516","82
"
"12","8","113","Weigall Road","","","Clessold Villa, Weigall Road","RG 12/516","82-83
"
"12","8","114","Weigall Road","Lee","","3-5","RG 12/516","82-83
"
"12","8","115","Well Hall Cottages","","","","RG 12/516","90
"
"12","8","116","Well Hall Road","","","1-8 Coopers Place, Well Hall Road","RG 12/516","64-65
"
"12","8","117","Well Hall Road","","","1-9","RG 12/516","64-65
"
"12","8","118","Well Hall Road","","","Brewery Cottages, Well Hall Road","RG 12/516","91
"
"12","8","119","Well Hall Road","","","Clifton House, Well Hall Road","RG 12/516","91
"
"12","8","120","Well Hall Road","","","Rose Cottage, Well Hall Road","RG 12/516","91
"
"12","8","121","Well Hall Road","","","The Brewery, Well Hall Road","RG 12/516","91
"
"12","8","122","Wellington Road","","","Albion Villa, Wellington Road","RG 12/516","66
"
"12","8","123","Wellington Road","","","Lynton Villa, Wellington Road","RG 12/516","66
"
"12","8","124","Wellington Road","","","Peachfield, Wellington Road","RG 12/516","66
"
"12","8","125","Wellington Road","","","Westbury Lodge, Wellington Road","RG 12/516","66
"
"12","8","126","Wells Road","","","1-7 odd","RG 12/524","115
"
"12","8","127","Wells Road","","","111-123 odd","RG 12/524","90-91
"
"12","8","128","Wells Road","","","125-135 odd","RG 12/524","88
"
"12","8","129","Wells Road","","","26-34, 38-94 even","RG 12/524","119-122
"
"12","8","130","Wells Road","","","79-93 odd","RG 12/524","106-107
"
"12","8","131","Wells Road","","","9-75 odd","RG 12/524","112-115
"
"12","8","132","Wells Road","","","95-109 odd","RG 12/524","99-100
"
"12","8","133","Wells Road","","","96-126 even","RG 12/524","151-152
"
"12","8","134","Wells Road","Armitage Lodge","","","RG 12/524","152
"
"12","8","135","Wells Road","Claverhouse","","","RG 12/524","152
"
"12","8","136","Wells Road","Claverhouse Cottages","","1-2","RG 12/524","152
"
"12","8","137","Wells Road","Oakford Avenue","","1-18","RG 12/524","153-155
"
"12","8","138","Wells Road","Thornleigh Stables","","","RG 12/524","153
"
"12","8","139","Wells Road","Upper Sydenham Railway Station","","","RG 12/524","88
"
"12","8","140","Wells Road","Wells Cottage","","","RG 12/524","152
"
"12","8","141","Wemyss Road","","","The High School, Wemyss Road","RG 12/517","13
"
"12","8","142","Wemyss Road","","","Wemyss Cottage, Wemyss Road","RG 12/517","13
"
"12","8","143","Wemyss Road","Blackheath Village","","4-36","RG 12/517","12-15
"
"12","8","144","Wesleyan Chapel","Addington Grove","","","RG 12/523","67
"
"12","8","145","Wesleyan Church and Parsonage","The Avenue","","","RG 12/517","16
"
"12","8","146","West Chiselhurst Park","","","2, 17, 19, 60, 62","RG 12/516","54-55
"
"12","8","147","West Chiselhurst Park","","","Biskra, West Chiselhurst Park","RG 12/516","55
"
"12","8","148","West Chiselhurst Park","","","Drayton, West Chiselhurst Park","RG 12/516","55
"
"12","8","149","West Chiselhurst Park","","","Fairview, West Chiselhurst Park","RG 12/516","55
"
"12","8","150","West Chiselhurst Park","","","Lynfield, West Chiselhurst Park","RG 12/516","55
"
"12","8","151","West Chiselhurst Park","","","Oastmede, West Chiselhurst Park","RG 12/516","55
"
"12","8","152","West Chiselhurst Park","","","Park House, West Chiselhurst Park","RG 12/516","55
"
"12","8","153","West Chiselhurst Park","","","Rathavon, West Chiselhurst Park","RG 12/516","54
"
"12","8","154","West Chiselhurst Park","","","Ruscot, West Chiselhurst Park","RG 12/516","54
"
"12","8","155","West Chiselhurst Park","","","St Andrews Rectory","RG 12/516","55
"
"12","8","156","West Chiselhurst Park","","","The Bungalow, West Chiselhurst Park","RG 12/516","55
"
"12","8","157","West Court","Lewisham Hill","","","RG 12/517","135
"
"12","8","158","West Hill","","","1, 3,9, 17","RG 12/524","34-35
"
"12","8","159","West Hill","","","1-3, 7-9, 2-9 mixed R","RG 12/524","88-90
"
"12","8","160","West Hill","","","102-108 even","RG 12/524","86
"
"12","8","161","West Hill","","","23-31 odd","RG 12/524","35
"
"12","8","162","West Hill","","","4-100 even","RG 12/524","80-84
"
"12","8","163","West Hill","","","49","RG 12/524","37
"
"12","8","164","West Hill","","","Betchworth, West Hill, West Hill","RG 12/524","37
"
"12","8","165","West Hill","","","Bombay Hall, West Hill","RG 12/524","36
"
"12","8","166","West Hill","","","Borrowdale, West Hill, West Hill","RG 12/524","34
"
"12","8","167","West Hill","","","Brunswick House, West Hill","RG 12/524","37
"
"12","8","168","West Hill","","","Burlington House, West Hill","RG 12/524","37
"
"12","8","169","West Hill","","","Caen Towers, West Hill","RG 12/524","36
"
"12","8","170","West Hill","","","Coolhurst, West Hill, West Hill","RG 12/524","36
"
"12","8","171","West Hill","","","Craigside, West Hill, West Hill","RG 12/524","37
"
"12","8","172","West Hill","","","Fairlawn, West Hill, West Hill","RG 12/524","34
"
"12","8","173","West Hill","","","Fernhurst, West Hill, West Hill","RG 12/524","36
"
"12","8","174","West Hill","","","Homer Cottage, West Hill","RG 12/524","35
"
"12","8","175","West Hill","","","Horner Grange, West Hill","RG 12/524","35
"
"12","8","176","West Hill","","","Jews Walk","RG 12/524","69-70
"
"12","8","177","West Hill","","","Laughton Lodge, West Hill","RG 12/524","37
"
"12","8","178","West Hill","Longton Grove","","1-3, 13-61, 65-67 odd","RG 12/524","64-66
"
"12","8","179","West Hill","Longton Grove","","2-56 even","RG 12/524","66-69
"
"12","8","180","West Hill","Longton Grove","","58-72 even","RG 12/524","63
"
"12","8","181","West Hill","Maplehurst","","","RG 12/524","36
"
"12","8","182","West Hill","Naughton","","","RG 12/524","35
"
"12","8","183","West Hill","Newton Lodge","","","RG 12/524","34
"
"12","8","184","West Hill","Parsonage","","4","RG 12/524","80
"
"12","8","185","West Hill","Peak View","","","RG 12/524","37
"
"12","8","186","West Hill","St Heliers","","","RG 12/524","37
"
"12","8","187","West Hill","The Mount","","","RG 12/524","37
"
"12","8","188","West Hill","The Roccles","","","RG 12/524","38
"
"12","8","189","West Hill","Westwood","","","RG 12/524","34
"
"12","8","190","West Hill","Woodlands","","","RG 12/524","34
"
"12","8","191","West Terrace","Fairlawn Park","","1-27 odd","RG 12/523","146-148
"
"12","8","192","West Terrace","Fairlawn Park","","2-52 even","RG 12/523","143-146
"
"12","8","193","West View","Granville Road","","","RG 12/516","26
"
"12","8","194","West View","Grove Park","","","RG 12/519","122
"
"12","8","195","West View","Venner Road","","","RG 12/523","98
"
"12","8","196","Westbourne Road","","","1-10 Westbourne Villas, Westbourne Road","RG 12/526","76-77
"
"12","8","197","Westbourne Road","","","1-11 Sylphide Villas, Westbourne Road","RG 12/526","77
"
"12","8","198","Westbourne Road","","","1-6 Wellesley Villas, Westbourne Road","RG 12/526","78-79
"
"12","8","199","Westbourne Road","","","1-6 Woodsome Villas, Westbourne Road","RG 12/526","78
"
"12","8","200","Westbourne Road","","","Avenue Villa, Westbourne Road","RG 12/526","81-82
"
"12","8","201","Westbourne Road","","","Deanscroft, Westbourne Road","RG 12/526","81
"
"12","8","202","Westbourne Road","","","Glena, Westbourne Road","RG 12/526","81
"
"12","8","203","Westbourne Road","","","Leslie House, Westbourne Road","RG 12/526","81
"
"12","8","204","Westbourne Road","","","Oakfield, Westbourne Road","RG 12/526","77
"
"12","8","205","Westbourne Road","","","Rocklands, Westbourne Road","RG 12/526","81
"
"12","8","206","Westbourne Road","","","Ronville, Westbourne Road","RG 12/526","82
"
"12","8","207","Westbourne Road","","","Roslyn, Westbourne Road","RG 12/526","81
"
"12","8","208","Westbourne Road","","","Solis House, Westbourne Road","RG 12/526","81
"
"12","8","209","Westbourne Road","","","Sydney Lodge, Westbourne Road","RG 12/526","82
"
"12","8","210","Westbourne Road","","","Wellington, Westbourne Road","RG 12/526","81
"
"12","8","211","Westdown Road","","","2-16 even","RG 12/522","47
"
"12","8","212","Westdown Road","Catford","","1-17 odd","RG 12/522","47-48
"
"12","8","213","Westmount","Eversley","","","RG 12/526","40
"
"12","8","214","Westmount","Frien Lodge","","","RG 12/526","40
"
"12","8","215","Westmount","Highclere","","","RG 12/526","39-40
"
"12","8","216","Westmount","Lasswade","","","RG 12/526","39
"
"12","8","217","Westmount","Vemon House","","","RG 12/526","39
"
"12","8","218","Westmount","Winefield","","2","RG 12/526","39
"
"12","8","219","Westwood Field","Lawrie Park Gardens","","","RG 12/524","43-44
"
"12","8","220","Westwood Park","Vine House","","","RG 12/526","38
"
"12","8","221","Westwood Park","","","1, 3-4, 7-10","RG 12/526","38-39
"
"12","8","222","Westwood Park","Glenalmond","","","RG 12/526","33
"
"12","8","223","Westwood Park","Hawthorn Cottage","","","RG 12/526","38
"
"12","8","224","Westwood Park","Hermitage","","1-2","RG 12/526","38
"
"12","8","225","Westwood Road","Cecil House","","","RG 12/524","41
"
"12","8","226","Westwood Road","St Hildas","","","RG 12/524","41
"
