"23","3","1","Gable Cottages","Little Suffolk Street","","","RG 12/346","57-59
"
"23","3","103","Hatfield Cottage","Hatfield Street","","","RG 12/340","65-66
"
"23","3","104","Hatfield Place","Cross Street","numbers mixed up","","RG 12/340","57-59, 81
"
"23","3","105","Hatfield Street","","","16-33","RG 12/340","60-63
"
"23","3","106","Hatfield Street","","","34","RG 12/340","56
"
"23","3","107","Hatfield Street","","","35","RG 12/340","63
"
"23","3","108","Hatfield Street","","","36","RG 12/340","45, 57, 81
"
"23","3","109","Hatfield Street","","","37-45","RG 12/340","63-64
"
"23","3","110","Hatfield Street","","","46","RG 12/340","50
"
"23","3","111","Hatfield Street","","","47-66","RG 12/340","64-68
"
"23","3","112","Hatfield Street","","","6-8","RG 12/340","60, 62
"
"23","3","113","Hatfield Street","","","67-73","RG 12/340","19
"
"23","3","114","Hatfield Street","","","Schoolhouse, Hatfield Street","RG 12/340","60
"
"23","3","115","Hatfield Street","Stamford Street","","1-5","RG 12/340","18-19
"
"23","3","116","Havelock Cottage","Victory Place","","","RG 12/354","16
"
"23","3","117","Havelock House","Cross Street","","","RG 12/345","144
"
"23","3","118","Hayles Buildings","St Georges Road","","","RG 12/349","5-9
"
"23","3","119","Hayles Street","St Georges Road","","1-53","RG 12/349","46-55
"
"23","3","120","Hayles Street","St Georges Road","","Terrace, Hayles Street, 1-12","RG 12/349","55-57
"
"23","3","121","Hayles Street","St Georges Road","Remainder in LAMBETH District","","",""
"23","3","122","Hearns Buildings","Flint Street","","","RG 12/362","82-83
"
"23","3","123","Heiron Street","Lorrimore Road","","1-13 odd","RG 12/356","31-32
"
"23","3","124","Heiron Street","Lorrimore Road","","15-23 odd","RG 12/356","41-42
"
"23","3","125","Heiron Street","Lorrimore Road","","2-36 even","RG 12/356","42-44
"
"23","3","126","Heiron Street","Lorrimore Road","","25 odd","RG 12/356","128
"
"23","3","127","Heiron Street","Lorrimore Road","","38-42 even","RG 12/356","127-128
"
