"8","6","1","Palmerston Buildings","Garden Row, pt of City","1-60 pt pt 60-72 MISSING after f 243","","RG 12/230","239-243
"
"8","6","166","Rodney Street and Residences","Pentonville Road","","Residences, Rodney Street and Residences, 1-30","RG 12/227","4-7
"
"8","6","167","Ropemaker Street","Finsbury Pavement","Remainder in CITY District","18-19 only","RG 12/234","19
"
"8","6","168","Roscoe Street","Bunhill Row","","1-11 and Memorial Building, Roscoe Street","RG 12/234","76
"
"8","6","169","Roscoe Street","Bunhill Row","","12-14 and School, Roscoe Street","RG 12/234","19
"
"8","6","170","Roscoe Street","Bunhill Row","","Bunhill Fields Coffee House Tavern, Roscoe Street","RG 12/234","76
"
"8","6","171","Roscoe Street","Bunhill Row","","Peabody Building: Blocks A-L","RG 12/233","79-100
"
"8","6","172","Roscoe Street","Bunhill Row","","Peabody Building: Blocks N-P","RG 12/233","19-25
"
"8","6","173","Rose Street","Central Street now Paton Street","","
","Roseberry Avenue","Grays Inn Road"
"8","6","174","Roseberry Avenue","Grays Inn Road","not yet built","","",""
"8","6","175","Rosoman Buildings","Rosoman Street","","","RG 12/229","145-157
"
"8","6","176","Rosoman Street and Mews","Exmouth Street","","1-45 Odd","RG 12/225","98-101
"
"8","6","177","Rosoman Street and Mews","Exmouth Street","","47-69 Odd","RG 12/225","43-44
"
"8","6","178","Rosoman Street and Mews","Exmouth Street","","62-104 Even","RG 12/229","19-22
"
"8","6","179","Rosoman Street and Mews","Exmouth Street","","71-131 Odd","RG 12/224","134-139
"
"8","6","180","Rosoman Street and Mews","Exmouth Street","","Mews, Rosoman Street and Mews, Rosoman Street and Mews","RG 12/225","111
"
"8","6","181","Rosoman Street and Mews","Exmouth Street","","Vestry Hall, Rosoman Street and Mews","RG 12/229","19
"
"8","6","182","Rosoman Street and Mews","Exmouth Street","2-30 Even do not exist","32-54 Even","RG 12/229","145
"
"8","6","183","Royley Street","Old Street","","","RG 12/233","7-9
"
"8","6","184","Rugby Yard","87 Lambs Conduit Street","","","RG 12/218","121
"
"8","6","185","Russell Place","Sermon Lane","","","RG 12/226","77-78
"
"8","6","186","Rydon Crescent","St Johns Street Road","","","RG 12/228","138-140
"
