"19","3","112","Hamilton Place and Mews","Piccadilly","","","RG 12/70","17-18
"
"19","3","113","Hanover Mansions","Maddox Street","","","RG 12/68","40
"
"19","3","114","Hanover Square","Princes Street","","1-3","RG 12/68","36
"
"19","3","115","Hanover Square","Princes Street","","10","RG 12/67","18
"
"19","3","116","Hanover Square","Princes Street","","16-18","RG 12/67","21-22
"
"19","3","117","Hanover Square","Princes Street","","19-21A","RG 12/67","11
"
"19","3","118","Hanover Square","Princes Street","","22-25","RG 12/68","35-36
"
"19","3","119","Hanover Square","Princes Street","","4","RG 12/67","20-21
"
"19","3","120","Hanover Square","Princes Street","","5-16","RG 12/67","10-11
"
"19","3","121","Hanover Square","Princes Street","","8A & 10A","RG 12/67","21
"
"19","3","122","Hanover Street","Lupus Street","","","RG 12/76","14-32
"
"19","3","123","Hanover Street","Lupus Street","","and Yard, Hanover Street","","
"
"19","3","124","Hanover Street","Regent Street","","2","RG 12/67","22
"
"19","3","125","Hanover Street","Regent Street","","2A-7","RG 12/67","10
"
"19","3","126","Hanover Street","Regent Street","","8-21","RG 12/68","36-37
"
"19","3","127","Hanover Street","Regent Street","","Yard, Hanover Street","RG 12/67","10
"
"19","3","128","Hanover Yard","Hanover Street","","","RG 12/67","10
"
"19","3","129","Harewood Place","Oxford Street","","","RG 12/67","15
"
"19","3","130","Harpers Court or Place","Vauxhall Bridge Road","","","RG 12/78","204-205
"
"19","3","131","Hart Street","Duke Street","","","RG 12/67","70-74
"
"19","3","132","Harts Cottages","Westbourne Street","","","RG 12/72","171-172
"
"19","3","133","Haunch of Venison Yard","Brook Street","","","RG 12/67","42
"
"19","3","134","Hayes Mews","Hill Street","","","RG 12/68","122-124, 127
"
"19","3","135","Hereford Gardens","Park Lane","","","RG 12/67","85-86
"
"19","3","136","Hereford Mews","North Row","","","RG 12/67","94
"
"19","3","137","Hertford Mews","Brick Street","","","RG 12/70","24-25
"
"19","3","138","Hertford Street","Park Lane","","","RG 12/70","4-9
"
"19","3","139","Hide Place","Vincent Street","","1-24","RG 12/79","204-207
"
"19","3","140","Hide Place","Vincent Street","","25-27","RG 12/80","20
"
"19","3","141","Hide Place","Vincent Street","28-46 do not exist","47-50","RG 12/80","20-21
"
"19","3","142","High Road","","see Knightsbridge","","",""
"19","3","143","Hill Street","Berkeley Square","","1-5 Odd","RG 12/68","120
"
"19","3","144","Hill Street","Berkeley Square","","19 Odd","RG 12/68","118
"
"19","3","145","Hill Street","Berkeley Square","","2-26 Even","RG 12/68","119-120
"
"19","3","146","Hill Street","Berkeley Square","","21-39 Odd","RG 12/68","116-117
"
"19","3","147","Hill Street","Berkeley Square","","28 Even","RG 12/68","127
"
"19","3","148","Hill Street","Berkeley Square","","30-38 Even","RG 12/68","120-121
"
"19","3","149","Hill Street","Berkeley Square","","40-42 Even","RG 12/69","113
"
"19","3","150","Hill Street","Berkeley Square","","41-49 Odd","RG 12/70","66
"
"19","3","151","Hill Street","Berkeley Square","","7-17 Odd","RG 12/68","117-118
"
"19","3","152","Hill Street","Berkeley Square","","Stables, Hill Street","RG 12/68","116
"
"19","3","153","Hill Street","Knightsbridge","","","RG 12/83","134-138
"
"19","3","154","Hindon Place and Street","","","1-32","RG 12/73","89-91
"
"19","3","155","Hindon Place and Street","Gillingham Street","","33-63","RG 12/72","153-155
"
"19","3","156","Hindon Place and Street","Gillingham Street","","Place, Hindon Place and Street","RG 12/72","159-161
"
"19","3","157","Hindon Place and Street","Gillingham Street","","pt, Hindon Place and Street, 26","RG 12/73","91
"
"19","3","158","Hobart Place","Grosvenor Place","","1-6","RG 12/72","27-28
"
"19","3","159","Hobart Place","Grosvenor Place","","7-19","RG 12/72","5-6
"
"19","3","160","Holden Terrace","Victoria Street","","","RG 12/72","126-127
"
"19","3","161","Holland Gardens","Monck Street","","","RG 12/81","61
"
"19","3","162","Holland Street","Horseferry Road now part of Monck Street","","
","Homes and Refuges",""
"19","3","163","Homes and Refuges","","","Guards Industrial Home, Francis Street","RG 12/83","99-100
"
"19","3","164","Homes and Refuges","","","London Sailors Home","RG 12/82","125
"
"19","3","165","Homes and Refuges","","","Newport Market Refuge School, Coburg Row, Homes and Refuges","RG 12/83","68-69
"
"19","3","166","Homes and Refuges","","","Orphanage (Convent), Carlisle Place, Homes and Refuges","RG 12/83","39-42
"
"19","3","167","Homes and Refuges","","","Salvation Army Shelter, 83 Horseferry Road","RG 12/81","112-116
"
"19","3","168","Horse Shoe Alley","York Street","","","RG 12/82","127-129
"
"19","3","169","Horse Shoe Yard","Brook Street","","","RG 12/69","46
"
"19","3","170","Horse and Groom Yard","Wood Street","","","RG 12/78","44-45
"
"19","3","171","Horseferry Road","Mill bank","","1-27 Odd","RG 12/78","109-113
"
"19","3","172","Horseferry Road","Mill bank","","124-162 Even","RG 12/81","55-56
"
"19","3","173","Horseferry Road","Mill bank","","2-64 Even","RG 12/78","109-117
"
"19","3","174","Horseferry Road","Mill bank","","29-63 Odd","RG 12/78","162-164
"
"19","3","175","Horseferry Road","Mill bank","","65-67 Odd","RG 12/80","8
"
"19","3","176","Horseferry Road","Mill bank","","66-72 Even","RG 12/78","61-62
"
"19","3","177","Horseferry Road","Mill bank","","69-91 Odd","RG 12/79","164-165
"
"19","3","178","Horseferry Road","Mill bank","","74-78 Even","RG 12/81","82
"
"19","3","179","Horseferry Road","Mill bank","","86-122 Even","RG 12/81","84-87
"
"19","3","180","Horseferry Road","Mill bank","","93-105 Odd","RG 12/80","56-57
"
"19","3","181","Horseferry Road","Mill bank","","Salvation Army Shelter (No 83)","RG 12/81","112-116
"
"19","3","182","Horseferry Road","Mill bank","","Weslyan Training College (No 130)","RG 12/81","99-104
"
"19","3","183","Hospitals","161 Vauxhall Bridge Road","","Guards Hospital","RG 12/79","74-75
"
"19","3","184","Hospitals","Broad Sanctuary, Westminster","","","RG 12/84","103-109
"
"19","3","185","Hospitals","Fulham Road","","Workhouse Infirmary","RG 12/70","104-119
"
"19","3","186","Hospitals","Hyde Park Corner","","St Georges Hospital","RG 12/77","70-83
"
"19","3","187","Hospitals","Rochester Row","","Grenadier Guards","RG 12/81","94-98
"
"19","3","188","Hospitals","Vincent Square","","Coldstream Guards","RG 12/80","27-28
"
"19","3","189","Houses of Parliament","","","see Palace of Westminster","","
"
"19","3","190","Howick Place","Artillery Row","","","RG 12/83","51
"
"19","3","191","Hudson Terrace","Earl Street","","","RG 12/78","138-140
"
"19","3","192","Hugh Place","Vincent Street","","","RG 12/80","18-20
"
"19","3","193","Hugh Street","Belgrave Road","","1-49 Odd","RG 12/73","61-63
"
"19","3","194","Hugh Street","Belgrave Road","","2-38 Even","RG 12/73","63-66
"
"19","3","195","Hugh Street","Belgrave Road","","42-80 Even","RG 12/73","39-42
"
"19","3","196","Hugh Street","Belgrave Road","","53-97 Odd","RG 12/73","36-39
"
"19","3","197","Humphreys Mansions","part of Kensington Road","later called Albert Gate Mansions","","RG 12/84","6-7
"
"19","3","198","Humphries Yard","Kinnerton Street","","","RG 12/71","42
"
"19","3","199","Hyde Park","","","Chief Constables Lodge, Hyde Park","RG 12/69","89
"
"19","3","200","Hyde Park","","","Cumberland Lodge, Hyde Park","RG 12/69","89
"
"19","3","201","Hyde Park","","","Grosvenor Lodge, Hyde Park","RG 12/69","89
"
