hisco3,hisco,title3,title5
621,62113,"Farm labourers and helpers, general farming and nfs  ",Farmer's sons and other male relatives
614,61400,Farm Managers,"Farm managers, foremen and supervisors "
624,62430,Farm labourers: livestock workers and non-farm livestock caretakers ,Sheep workers
624,62420,Farm labourers: livestock workers and non-farm livestock caretakers ,"Cattle workers, except specified dairy "
624,62460,Farm labourers: livestock workers and non-farm livestock caretakers ,Horse workers
621,62110,"Farm labourers and helpers, general farming and nfs  ","Farm labourers and helpers, general and nfs"
631,63110,Logging workers and wood cutters,"Woodsmen and workers in the woods, nfs"
612,61250,Specialized farmers,Nurserymen and florists
612,61240,Specialized farmers,Market gardeners
627,62710,"Farm labourers: garden and nursery workers, including non-farm gardeners",Gardeners nfs
451,45190,Salespeople,"Other Salesmen, Shop Assistants and Demonstrators"
629,62990,Agricultural and animal husbandry workers nec,Others in agricultural or husbandry
974,97490,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)","Other road, railway and related construction labourers"
649,64970,Other related workers in fishing and hunting nec,Trapper or hunter
629,62920,Agricultural and animal husbandry workers nec,Other animal workers
649,64970,Other related workers in fishing and hunting nec,Trapper or hunter
953,95330,Roofers,Thatchers
743,74390,Charcoal and coal product makers,Other coal product makers
641,64100,Fishermen,Fishermen
613,61320,Farmer and fisherman,Farmer and fisherman
711,71120,Miners and quarrymen,Miner
711,71120,Miners and quarrymen,Miner
711,71120,Miners and quarrymen,Miner
974,97430,"Road, railway, waterway and related construction labourers (excavators and earth moving road workers)","Railway builders, workers and laborers"
711,71120,Miners and quarrymen,Miner
27,2700,Mining engineers,Mining engineer
211,21140,Proprietors,"Proprietor, mining, quarrying, oil and natural gas extraction"
711,71190,Miners and quarrymen,Others working in mines and quarries
743,74390,Charcoal and coal product makers,Other coal product makers
743,74390,Charcoal and coal product makers,Other coal product makers
743,74390,Charcoal and coal product makers,Other coal product makers
711,71120,Miners and quarrymen,Miner
711,71120,Miners and quarrymen,Miner
711,71120,Miners and quarrymen,Miner
711,71120,Miners and quarrymen,Miner
711,71120,Miners and quarrymen,Miner
711,71120,Miners and quarrymen,Miner
711,71120,Miners and quarrymen,Miner
211,21140,Proprietors,"Proprietor, mining, quarrying, oil and natural gas extraction"
711,71190,Miners and quarrymen,Others working in mines and quarries
221,22130,Superintendents and managers,"Superintendents and managers, mining, quarrying etc"
221,22130,Superintendents and managers,"Superintendents and managers, mining, quarrying etc"
221,22130,Superintendents and managers,"Superintendents and managers, mining, quarrying etc"
221,22130,Superintendents and managers,"Superintendents and managers, mining, quarrying etc"
211,21140,Proprietors,"Proprietor, mining, quarrying, oil and natural gas extraction"
211,21140,Proprietors,"Proprietor, mining, quarrying, oil and natural gas extraction"
211,21140,Proprietors,"Proprietor, mining, quarrying, oil and natural gas extraction"
211,21140,Proprietors,"Proprietor, mining, quarrying, oil and natural gas extraction"
711,71130,Miners and quarrymen,Quarryman
711,71130,Miners and quarrymen,Quarryman
820,82000,Stone carvers or cutters and stone yard workers,Stone carvers or cutters and stone yard workers
711,71130,Miners and quarrymen,Quarryman
820,82000,Stone carvers or cutters and stone yard workers,Stone carvers or cutters and stone yard workers
896,89630,"Lime, plaster and cement manufacturing workers",Lime burners
711,71130,Miners and quarrymen,Quarryman
711,71130,Miners and quarrymen,Quarryman
711,71130,Miners and quarrymen,Quarryman
949,94990,Other production and related workers,Other production and related workers nec
943,94300,Non-metallic mineral product manufacturing workers,Non-metallic mineral product maker
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
410,41015,Working proprietors (wholesale and retail trade),"Merchants, specified large-scale wholesaling"
410,41010,Working proprietors (wholesale and retail trade),"Dealer, merchant etc (wholesale or retail trade)"
721,72100,"Metal smelting, converting and refining furnacemen",Metal smelters and furnacemen
722,72200,Metal rollers and workers in metal rolling mills,Metal rollers
724,72400,Metal casters and workers in metal casting plants,Metal casters and workers in metal casting plants
721,72100,"Metal smelting, converting and refining furnacemen",Metal smelters and furnacemen
